target
178.5
72.79
197.56
295.02
190.24
343.28
232.99
244.15
243.97
244.72
248.08
245.44
183.67
208.02
240.57
249.1
220.07
251.02
249.52
246.85
247.48
247.69
247.99
250.07
247.18
251.39
251
248.55
237.41
217.96
192.44
247.23
244.07
243.12
245.97
238.06
230.51
229.21
227.49
225.58
224.74
258.38
254.05
252.47
261.88
348.6
253.83
231.51
224.81
223.23
225.84
210.63
210.13
232.87
225.92
220.88
222.58
221.78
223.49
224.58
224.8
218.49
195.66
201.53
231.07
234.29
237.1
241.19
243.64
221.03
239.71
237.3
255.67
256
257.84
256.49
288.87
255.7
254.83
253.87
239.97
236.57
236.55
232.51
231.91
229.52
225.7
226.71
225.72
223.97
219.8
226.23
231.36
127.49
205.56
225.63
220.34
226.06
226.89
226.6
226.34
225.47
225.66
225.73
229.33
230.15
230.38
233.28
232.53
231.65
229.51
226.01
233.07
231.68
231.08
229.48
229.08
155.38
133.54
224.19
221.77
223.21
225.33
223.58
225.86
225.28
224.12
214.87
196.37
195.54
195.23
194.31
197.66
190.7
198.4
187.32
186.52
187.39
184.07
191.07
194.74
194.89
192.77
191.43
190.63
190.59
189.16
22.97
0
0
0
0
0
0
0
0
0
0
0
0
0
29.63
228.09
212.27
211.34
204.1
204.01
197.29
201.45
197.29
190.35
196.46
193.51
188.87
191.73
187.78
185.33
196.95
195.59
200.91
196.86
196.96
198.19
197.56
197.98
197.89
195.97
195.23
11.4
113.56
190.34
195.31
178.28
191.59
188.43
187.38
189.53
184.91
190.7
192.62
190.47
189.35
188.14
188.31
188.35
187.05
186.89
187.21
187.62
185.91
190.31
188.87
188.29
174.21
117.56
161.42
190.36
190.9
182.9
190.57
189.19
189.29
190.03
195.52
193.73
191.12
191.37
195.85
195.26
193.72
184.92
192.29
192.99
190.12
189.7
191.69
189.15
186.7
191.68
186.82
189.11
187.96
187.72
181.04
188.01
150.52
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
29.34
159.18
207.72
206.42
221.34
223.41
230.15
225.72
183
196.73
236.36
221.17
220.09
196.41
209.59
