76.04_8.72;75.84_8.72;75.64_8.72;75.44_8.72;76.44_9.72;76.24_9.72;76.04_9.72;75.84_9.72;75.64_9.72;75.44_9.72;76.84_10.72;76.64_10.72;76.44_10.72;76.24_10.72;76.04_10.72;75.84_10.72;75.64_10.72;75.44_10.72;75.24_10.72;77.24_11.72;77.04_11.72;76.84_11.72;76.64_11.72;76.44_11.72;76.24_11.72;76.04_11.72;75.84_11.72;75.64_11.72;75.44_11.72;75.24_11.72;75.04_11.72;77.44_12.72;77.24_12.72;77.04_12.72;76.84_12.72;76.64_12.72;76.44_12.72;76.24_12.72;76.04_12.72;75.84_12.72;75.64_12.72;75.44_12.72;75.24_12.72;75.04_12.72;74.84_12.72;76.84_13.72;76.64_13.72;76.44_13.72;76.24_13.72;76.04_13.72;75.84_13.72;75.64_13.72;75.44_13.72;75.24_13.72;75.04_13.72;74.84_13.72;76.64_14.72;76.44_14.72;76.24_14.72;76.04_14.72;75.84_14.72;75.64_14.72;75.44_14.72;75.24_14.72;75.04_14.72;74.84_14.72;74.64_14.72;76.24_15.72;76.04_15.72;75.84_15.72;75.64_15.72;75.44_15.72;75.24_15.72;75.04_15.72;74.84_15.72;74.64_15.72;74.44_15.72;76.24_16.72;76.04_16.72;75.84_16.72;75.64_16.72;75.44_16.72;75.24_16.72;75.04_16.72;74.84_16.72;74.64_16.72;74.44_16.72;74.24_16.72;76.24_17.72;76.04_17.72;75.84_17.72;75.64_17.72;75.44_17.72;75.24_17.72;75.04_17.72;74.84_17.72;74.64_17.72;74.44_17.72;74.24_17.72;74.04_17.72;77.24_18.72;77.04_18.72;76.84_18.72;76.64_18.72;76.44_18.72;76.24_18.72;76.04_18.72;75.84_18.72;75.64_18.72;75.44_18.72;75.24_18.72;75.04_18.72;74.84_18.72;74.04_18.72;77.24_19.72;77.04_19.72;76.84_19.72;76.64_19.72;76.44_19.72;76.24_19.72;76.04_19.72;75.84_19.72;75.64_19.72;75.44_19.72;75.24_19.72;75.04_19.72;74.84_19.72;74.64_19.72;74.24_19.72;74.04_19.72;73.84_19.72;76.84_20.72;76.64_20.72;76.44_20.72;76.24_20.72;76.04_20.72;75.84_20.72;75.64_20.72;75.44_20.72;75.24_20.72;75.04_20.72;74.84_20.72;74.64_20.72;74.44_20.72;74.24_20.72;74.04_20.72;73.84_20.72;73.64_20.72;76.64_21.72;76.44_21.72;76.24_21.72;76.04_21.72;75.84_21.72;75.64_21.72;75.44_21.72;75.24_21.72;75.04_21.72;74.84_21.72;74.64_21.72;74.44_21.72;74.24_21.72;74.04_21.72;73.84_21.72;73.64_21.72;76.64_22.72;76.44_22.72;76.24_22.72;76.04_22.72;75.84_22.72;75.64_22.72;75.44_22.72;75.24_22.72;75.04_22.72;74.84_22.72;74.64_22.72;74.44_22.72;74.24_22.72;74.04_22.72;73.84_22.72;76.84_23.72;76.64_23.72;76.44_23.72;76.24_23.72;76.04_23.72;75.84_23.72;75.64_23.72;75.44_23.72;75.24_23.72;75.04_23.72;74.84_23.72;74.64_23.72;74.44_23.72;74.24_23.72;77.24_24.72;77.04_24.72;76.84_24.72;76.64_24.72;76.44_24.72;76.24_24.72;76.04_24.72;75.84_24.72;75.64_24.72;75.44_24.72;75.24_24.72;75.04_24.72;74.84_24.72;74.64_24.72;74.44_24.72;77.44_25.72;77.24_25.72;77.04_25.72;76.84_25.72;76.64_25.72;76.44_25.72;76.24_25.72;76.04_25.72;75.84_25.72;75.64_25.72;75.44_25.72;75.24_25.72;75.04_25.72;74.84_25.72;77.64_26.72;77.44_26.72;77.24_26.72;77.04_26.72;76.84_26.72;76.64_26.72;76.44_26.72;76.24_26.72;76.04_26.72;75.84_26.72;75.64_26.72;75.44_26.72;75.24_26.72;77.64_27.72;77.44_27.72;77.24_27.72;77.04_27.72;76.84_27.72;76.64_27.72;76.44_27.72;76.24_27.72;76.04_27.72;75.84_27.72;75.64_27.72;75.44_27.72;77.64_28.72;77.44_28.72;77.24_28.72;77.04_28.72;76.84_28.72;76.64_28.72;76.44_28.72;76.24_28.72;76.04_28.72;75.84_28.72;75.64_28.72;77.44_29.72;77.24_29.72;77.04_29.72;76.84_29.72;76.64_29.72;76.44_29.72;76.24_29.72;76.04_29.72;77.24_30.72;77.04_30.72;76.84_30.72;76.64_30.72;76.44_30.72;76.24_30.72;77.04_31.72;76.84_31.72;76.64_31.72;76.44_31.72;76.84_32.72;dates
-0.5140263438224792;-0.5152613520622253;-0.5160091519355774;-0.5070815086364746;-0.5047144889831543;-0.5063309669494629;-0.5073291063308716;-0.5070264339447021;-0.5062571167945862;-0.504070520401001;-0.4909041225910187;-0.4909041225910187;-0.4981824457645416;-0.5022069215774536;-0.5050132870674133;-0.505883514881134;-0.5055419206619263;-0.5039439797401428;-0.5045411586761475;-0.48192086815834045;-0.4793303608894348;-0.4822967052459717;-0.48450711369514465;-0.49036234617233276;-0.49036234617233276;-0.495776504278183;-0.49491795897483826;-0.49491795897483826;-0.49800723791122437;-0.49538853764533997;-0.4979102909564972;-0.4916323721408844;-0.4827533960342407;-0.4781886637210846;-0.47400936484336853;-0.47349920868873596;-0.47349920868873596;-0.47314518690109253;-0.4758000075817108;-0.46717458963394165;-0.46717458963394165;-0.46717458963394165;-0.46678394079208374;-0.4712490737438202;-0.47279953956604004;-0.47584038972854614;-0.4693898856639862;-0.4693898856639862;-0.4615544378757477;-0.4615544378757477;-0.4603683352470398;-0.45503509044647217;-0.45503509044647217;-0.4464108645915985;-0.44713154435157776;-0.4429400861263275;-0.4812431335449219;-0.47280511260032654;-0.4682227671146393;-0.46640971302986145;-0.46367862820625305;-0.4557729959487915;-0.4518444836139679;-0.4403078854084015;-0.4403078854084015;-0.4276934862136841;-0.4276934862136841;-0.47520411014556885;-0.468790203332901;-0.4635489881038666;-0.45427337288856506;-0.45002439618110657;-0.4457565248012543;-0.4364704489707947;-0.4312160313129425;-0.42532429099082947;-0.42008066177368164;-0.4783247709274292;-0.47567129135131836;-0.4654165208339691;-0.46158555150032043;-0.46158555150032043;-0.4584171772003174;-0.4584171772003174;-0.44527775049209595;-0.44527775049209595;-0.4462432563304901;-0.4462432563304901;-0.4733225405216217;-0.4700867533683777;-0.46543601155281067;-0.46463388204574585;-0.469084769487381;-0.469084769487381;-0.47087782621383667;-0.47087782621383667;-0.46825534105300903;-0.477180153131485;-0.477180153131485;-0.4577522575855255;-0.47005507349967957;-0.472793310880661;-0.47615939378738403;-0.47691860795021057;-0.4755954146385193;-0.4755954146385193;-0.4677414298057556;-0.46652594208717346;-0.46652594208717346;-0.468593955039978;-0.4696981608867645;-0.4720650911331177;-0.4730006456375122;-0.47147640585899353;-0.46642985939979553;-0.4681592285633087;-0.4681592285633087;-0.4716228246688843;-0.47169777750968933;-0.47169777750968933;-0.46149715781211853;-0.45985859632492065;-0.4639241397380829;-0.4666341245174408;-0.4666341245174408;-0.4658330976963043;-0.4682508111000061;-0.4741557836532593;-0.47953101992607117;-0.46748724579811096;-0.45687639713287354;-0.4717056155204773;-0.47243794798851013;-0.47128555178642273;-0.46456339955329895;-0.4562322795391083;-0.4562322795391083;-0.4601176679134369;-0.4624910056591034;-0.4619389772415161;-0.465703547000885;-0.465703547000885;-0.4752250015735626;-0.47693508863449097;-0.47583144903182983;-0.45778119564056396;-0.4485272169113159;-0.4328603744506836;-0.47780290246009827;-0.4653353989124298;-0.45761969685554504;-0.4559394121170044;-0.4552256166934967;-0.45953336358070374;-0.45953336358070374;-0.4633257985115051;-0.47217467427253723;-0.4739867150783539;-0.4793761968612671;-0.4793761968612671;-0.46822431683540344;-0.4508247375488281;-0.4468749761581421;-0.43348249793052673;-0.46590033173561096;-0.45757824182510376;-0.45597708225250244;-0.45696747303009033;-0.4640520215034485;-0.46263834834098816;-0.46740809082984924;-0.4746171236038208;-0.4746171236038208;-0.48268863558769226;-0.4826924502849579;-0.4826924502849579;-0.4694264233112335;-0.4487791061401367;-0.4454621374607086;-0.46338799595832825;-0.46333813667297363;-0.46333813667297363;-0.4607766270637512;-0.4701061248779297;-0.4772410988807678;-0.4772410988807678;-0.4808690547943115;-0.4881353974342346;-0.4884605407714844;-0.49127694964408875;-0.48175838589668274;-0.47574397921562195;-0.4520833492279053;-0.47483763098716736;-0.45898914337158203;-0.46240395307540894;-0.46240395307540894;-0.46742627024650574;-0.4736870527267456;-0.4736870527267456;-0.48192429542541504;-0.4850400984287262;-0.48969992995262146;-0.48969992995262146;-0.49153944849967957;-0.4826316237449646;-0.4826316237449646;-0.46079787611961365;-0.4703252613544464;-0.4748191237449646;-0.4660734534263611;-0.4660734534263611;-0.47010913491249084;-0.4780138432979584;-0.4780138432979584;-0.485565185546875;-0.4879641532897949;-0.4877665936946869;-0.4883921444416046;-0.4883424639701843;-0.4843410849571228;-0.46992120146751404;-0.4632999002933502;-0.46763429045677185;-0.48347654938697815;-0.48770496249198914;-0.4838811457157135;-0.4838811457157135;-0.48358669877052307;-0.4907888174057007;-0.4886764883995056;-0.4872584640979767;-0.4872584640979767;-0.4853127598762512;-0.48227807879447937;-0.46724197268486023;-0.47934141755104065;-0.48793211579322815;-0.48933693766593933;-0.48933693766593933;-0.48609957098960876;-0.48783886432647705;-0.4865366220474243;-0.4826415181159973;-0.4826415181159973;-0.4787602424621582;-0.47527286410331726;-0.4769657552242279;-0.4769657552242279;-0.4851166009902954;-0.47941431403160095;-0.48729145526885986;-0.48729145526885986;-0.4878503382205963;-0.48459500074386597;-0.48459500074386597;-0.4762327969074249;-0.46998900175094604;-0.48396480083465576;-0.48396480083465576;-0.46542319655418396;-0.46542319655418396;-0.47340261936187744;-0.47275668382644653;-0.47561728954315186;-0.47104600071907043;-0.4719533324241638;-0.4639623761177063;-0.4663872718811035;-0.4671667218208313;-0.46483173966407776;-0.46483173966407776;-0.4597156345844269;-0.46472179889678955;-0.4706876873970032;-0.47012248635292053;-0.46736302971839905;2002-01-01
-0.4891364872455597;-0.48990532755851746;-0.4907664954662323;-0.4828781187534332;-0.47901493310928345;-0.4809233844280243;-0.48059529066085815;-0.48032042384147644;-0.4797740876674652;-0.477916955947876;-0.4621579349040985;-0.4621579349040985;-0.4689860939979553;-0.47323426604270935;-0.47449439764022827;-0.4761044681072235;-0.47635191679000854;-0.47466549277305603;-0.4763345718383789;-0.45098745822906494;-0.4495196044445038;-0.45118236541748047;-0.4534604847431183;-0.4578106105327606;-0.4578106105327606;-0.46313759684562683;-0.4610653519630432;-0.4610653519630432;-0.46585798263549805;-0.46405330300331116;-0.4678284227848053;-0.44976112246513367;-0.45068618655204773;-0.44874879717826843;-0.4419017434120178;-0.44080671668052673;-0.44080671668052673;-0.43837758898735046;-0.4408051669597626;-0.4311668872833252;-0.4311668872833252;-0.4311668872833252;-0.43328920006752014;-0.4390171468257904;-0.44285959005355835;-0.44665729999542236;-0.43517807126045227;-0.43517807126045227;-0.42658159136772156;-0.42658159136772156;-0.4252283275127411;-0.41867756843566895;-0.41867756843566895;-0.4114893078804016;-0.413832426071167;-0.4114461839199066;-0.4478286802768707;-0.43761900067329407;-0.43166330456733704;-0.42680495977401733;-0.4236481189727783;-0.4152476191520691;-0.4118243455886841;-0.40283650159835815;-0.40283650159835815;-0.3939720094203949;-0.3939720094203949;-0.437679648399353;-0.42666327953338623;-0.42188403010368347;-0.41571757197380066;-0.41194432973861694;-0.4081036448478699;-0.3980879485607147;-0.39564278721809387;-0.3900345265865326;-0.3851737976074219;-0.44231918454170227;-0.4362964630126953;-0.4238278567790985;-0.4276122748851776;-0.4276122748851776;-0.4222359359264374;-0.4222359359264374;-0.4122394621372223;-0.4122394621372223;-0.4091075658798218;-0.4091075658798218;-0.43282341957092285;-0.42894843220710754;-0.4275032579898834;-0.4270566701889038;-0.4343174695968628;-0.4343174695968628;-0.4357832968235016;-0.4357832968235016;-0.43166837096214294;-0.43279632925987244;-0.43279632925987244;-0.4085204005241394;-0.4365272521972656;-0.43887436389923096;-0.44103288650512695;-0.4412927031517029;-0.437326043844223;-0.437326043844223;-0.4284510612487793;-0.4337508976459503;-0.4337508976459503;-0.4351629912853241;-0.4355907142162323;-0.4375157654285431;-0.436972975730896;-0.42254891991615295;-0.4329163730144501;-0.4331432282924652;-0.4331432282924652;-0.43578657507896423;-0.4322849214076996;-0.4322849214076996;-0.4264185428619385;-0.42730915546417236;-0.4332757592201233;-0.4352056682109833;-0.4352056682109833;-0.43674004077911377;-0.43683212995529175;-0.43725430965423584;-0.44270482659339905;-0.42104482650756836;-0.40667060017585754;-0.4367976486682892;-0.43677327036857605;-0.4343565106391907;-0.42742207646369934;-0.4236617088317871;-0.4236617088317871;-0.4305819272994995;-0.4333747625350952;-0.43538662791252136;-0.4383915662765503;-0.4383915662765503;-0.4412495791912079;-0.4390578269958496;-0.430915504693985;-0.4058709144592285;-0.3943139612674713;-0.3739069700241089;-0.443776935338974;-0.428459107875824;-0.4207536280155182;-0.41985955834388733;-0.4218451976776123;-0.4288015365600586;-0.4288015365600586;-0.43460091948509216;-0.43948209285736084;-0.4402908384799957;-0.4377800524234772;-0.4377800524234772;-0.41532301902770996;-0.39116936922073364;-0.3866422772407532;-0.36904770135879517;-0.42759111523628235;-0.41957172751426697;-0.41872531175613403;-0.41993603110313416;-0.4260079860687256;-0.4260634183883667;-0.4326392412185669;-0.44048669934272766;-0.44048669934272766;-0.44405126571655273;-0.4360091984272003;-0.4360091984272003;-0.4127331078052521;-0.38449302315711975;-0.38048601150512695;-0.4224482774734497;-0.422719806432724;-0.422719806432724;-0.42213910818099976;-0.4289364814758301;-0.4362674653530121;-0.4362674653530121;-0.439807653427124;-0.44608768820762634;-0.44784876704216003;-0.4468463659286499;-0.4305347502231598;-0.4216461777687073;-0.38756805658340454;-0.44331443309783936;-0.42358288168907166;-0.4207005798816681;-0.4207005798816681;-0.4272322654724121;-0.42938295006752014;-0.42938295006752014;-0.4370613992214203;-0.44132912158966064;-0.4430987536907196;-0.4430987536907196;-0.4423881471157074;-0.4288058876991272;-0.4288058876991272;-0.39731839299201965;-0.43377479910850525;-0.43984395265579224;-0.42916494607925415;-0.42916494607925415;-0.4311090409755707;-0.43310123682022095;-0.43310123682022095;-0.43653953075408936;-0.43949246406555176;-0.4394552409648895;-0.43994301557540894;-0.4368734657764435;-0.42886561155319214;-0.4082152247428894;-0.4210489094257355;-0.4267491102218628;-0.4433914124965668;-0.44647350907325745;-0.4420156478881836;-0.4420156478881836;-0.4369528889656067;-0.43823403120040894;-0.4369664490222931;-0.43671083450317383;-0.43671083450317383;-0.43212321400642395;-0.42485567927360535;-0.42129188776016235;-0.43007147312164307;-0.4375283122062683;-0.4411237835884094;-0.4411237835884094;-0.4361226558685303;-0.4307379722595215;-0.4264589548110962;-0.4250726103782654;-0.4250726103782654;-0.42231786251068115;-0.4156723618507385;-0.42226123809814453;-0.42226123809814453;-0.4301706850528717;-0.4275570809841156;-0.43204599618911743;-0.43204599618911743;-0.42629939317703247;-0.41916030645370483;-0.41916030645370483;-0.41117429733276367;-0.4032570719718933;-0.42186376452445984;-0.42186376452445984;-0.41077080368995667;-0.41077080368995667;-0.41571637988090515;-0.4120141863822937;-0.4104045331478119;-0.4014088809490204;-0.40604105591773987;-0.39489179849624634;-0.39748939871788025;-0.3977111577987671;-0.39365434646606445;-0.39365434646606445;-0.3867794871330261;-0.38570210337638855;-0.3894403874874115;-0.38812947273254395;-0.383588582277298;2002-01-02
-0.47991660237312317;-0.4806349575519562;-0.48160305619239807;-0.47377610206604004;-0.4702189862728119;-0.4719739854335785;-0.470475971698761;-0.47021418809890747;-0.4697655439376831;-0.4677349030971527;-0.4522051215171814;-0.4522051215171814;-0.45867210626602173;-0.46272966265678406;-0.46270811557769775;-0.4644591212272644;-0.46491727232933044;-0.463480144739151;-0.46562859416007996;-0.4441097676753998;-0.44120267033576965;-0.44142597913742065;-0.4431375563144684;-0.4458034932613373;-0.4458034932613373;-0.45080727338790894;-0.4486248195171356;-0.4486248195171356;-0.45404955744743347;-0.45273682475090027;-0.4568992555141449;-0.4527617394924164;-0.4478362798690796;-0.4430861473083496;-0.43379566073417664;-0.4312344491481781;-0.4312344491481781;-0.4264269769191742;-0.4286397695541382;-0.42028045654296875;-0.42028045654296875;-0.42028045654296875;-0.42287248373031616;-0.42818546295166016;-0.4322260320186615;-0.4416508078575134;-0.42789486050605774;-0.42789486050605774;-0.41673120856285095;-0.41673120856285095;-0.4154495894908905;-0.40998759865760803;-0.40998759865760803;-0.40239179134368896;-0.40393245220184326;-0.4007226824760437;-0.4501104950904846;-0.43555718660354614;-0.4262353777885437;-0.42162609100341797;-0.4178856909275055;-0.410807728767395;-0.4065112769603729;-0.3962351381778717;-0.3962351381778717;-0.3841980993747711;-0.3841980993747711;-0.4410249590873718;-0.4284742474555969;-0.4223283529281616;-0.4172687828540802;-0.4139786660671234;-0.41398853063583374;-0.3983757495880127;-0.3923397958278656;-0.3844996988773346;-0.3796183466911316;-0.44911524653434753;-0.44415998458862305;-0.4318891167640686;-0.441353976726532;-0.441353976726532;-0.4404299557209015;-0.4404299557209015;-0.4218060374259949;-0.4218060374259949;-0.4285426139831543;-0.4285426139831543;-0.44424089789390564;-0.44154050946235657;-0.44576525688171387;-0.44488319754600525;-0.46512460708618164;-0.46512460708618164;-0.4700864851474762;-0.4700864851474762;-0.4679667353630066;-0.49075740575790405;-0.49075740575790405;-0.4695974290370941;-0.4377518594264984;-0.43989869952201843;-0.4469721019268036;-0.4507516324520111;-0.45067930221557617;-0.45067930221557617;-0.44475871324539185;-0.4628276824951172;-0.4628276824951172;-0.4722287654876709;-0.476939857006073;-0.48638737201690674;-0.48364102840423584;-0.4886297285556793;-0.43543481826782227;-0.43929123878479004;-0.43929123878479004;-0.447465181350708;-0.4472072124481201;-0.4472072124481201;-0.44757041335105896;-0.45318475365638733;-0.46690988540649414;-0.47386738657951355;-0.47386738657951355;-0.4838336110115051;-0.48704129457473755;-0.49117279052734375;-0.4971057176589966;-0.47901007533073425;-0.4649214744567871;-0.4444632828235626;-0.44951024651527405;-0.448934942483902;-0.4435683488845825;-0.4483669698238373;-0.4483669698238373;-0.4622838497161865;-0.4672600328922272;-0.47347715497016907;-0.4806794822216034;-0.4806794822216034;-0.4927970767021179;-0.49411457777023315;-0.4890480935573578;-0.4666062891483307;-0.4543694257736206;-0.43498241901397705;-0.45067185163497925;-0.44468140602111816;-0.4394954442977905;-0.4401877820491791;-0.4478130042552948;-0.45859718322753906;-0.45859718322753906;-0.46768468618392944;-0.4781513810157776;-0.4831222593784332;-0.4934404492378235;-0.4934404492378235;-0.4787132441997528;-0.45705166459083557;-0.4519815146923065;-0.4361207187175751;-0.4495546519756317;-0.4405580759048462;-0.4395299553871155;-0.44461578130722046;-0.45281118154525757;-0.4535452127456665;-0.4631000757217407;-0.4755387306213379;-0.4755387306213379;-0.4902421832084656;-0.496817409992218;-0.496817409992218;-0.48249855637550354;-0.4571162760257721;-0.4529973566532135;-0.4512498676776886;-0.4515240788459778;-0.4515240788459778;-0.44945141673088074;-0.4567878544330597;-0.46629706025123596;-0.46629706025123596;-0.47536998987197876;-0.4890515208244324;-0.4925517737865448;-0.5017948746681213;-0.49639037251472473;-0.4895768165588379;-0.4607961177825928;-0.43573421239852905;-0.4412645697593689;-0.45447325706481934;-0.45447325706481934;-0.4568099081516266;-0.45840615034103394;-0.45840615034103394;-0.46653881669044495;-0.4783845841884613;-0.49005234241485596;-0.49005234241485596;-0.49930399656295776;-0.4959389567375183;-0.4959389567375183;-0.47060906887054443;-0.4262749254703522;-0.4380743205547333;-0.4442644417285919;-0.4442644417285919;-0.4557373523712158;-0.46115583181381226;-0.46115583181381226;-0.46511679887771606;-0.47200798988342285;-0.48355355858802795;-0.48771730065345764;-0.4936813414096832;-0.4961206018924713;-0.48436790704727173;-0.42200636863708496;-0.4252544641494751;-0.44192543625831604;-0.4508352279663086;-0.45760372281074524;-0.45760372281074524;-0.4633914530277252;-0.4672035276889801;-0.4686528146266937;-0.4776908755302429;-0.4776908755302429;-0.4872840344905853;-0.49304670095443726;-0.42694517970085144;-0.4361715614795685;-0.4460732936859131;-0.45511117577552795;-0.45511117577552795;-0.458998441696167;-0.4628092348575592;-0.4627975523471832;-0.46752381324768066;-0.46752381324768066;-0.4751410186290741;-0.4778864085674286;-0.4352439343929291;-0.4352439343929291;-0.4411713182926178;-0.43967166543006897;-0.45020830631256104;-0.45020830631256104;-0.4612986743450165;-0.4648859202861786;-0.4648859202861786;-0.46477794647216797;-0.4639662206172943;-0.43670716881752014;-0.43670716881752014;-0.42281487584114075;-0.42281487584114075;-0.43715590238571167;-0.4416807293891907;-0.4536404609680176;-0.45264574885368347;-0.41846367716789246;-0.40540045499801636;-0.41424888372421265;-0.42221564054489136;-0.4318024516105652;-0.4318024516105652;-0.39881545305252075;-0.40376758575439453;-0.4185492694377899;-0.4252692461013794;-0.4164251983165741;2002-01-03
-0.4647411108016968;-0.46528202295303345;-0.4660640060901642;-0.45817217230796814;-0.4558444917201996;-0.45729348063468933;-0.4541195034980774;-0.453899085521698;-0.4535687565803528;-0.4517967402935028;-0.43736276030540466;-0.43736276030540466;-0.44242429733276367;-0.44630885124206543;-0.4454877972602844;-0.4474503993988037;-0.44815242290496826;-0.4474944472312927;-0.4500807225704193;-0.43810829520225525;-0.43351101875305176;-0.426992267370224;-0.42733386158943176;-0.42890557646751404;-0.42890557646751404;-0.4337611496448517;-0.43210458755493164;-0.43210458755493164;-0.4379293918609619;-0.4372328221797943;-0.4418298006057739;-0.4500940442085266;-0.4491414427757263;-0.4424252212047577;-0.4232058823108673;-0.4179384410381317;-0.4179384410381317;-0.4111703038215637;-0.41317376494407654;-0.40500718355178833;-0.40500718355178833;-0.40500718355178833;-0.4076842963695526;-0.4130174517631531;-0.4183284640312195;-0.44439756870269775;-0.4188287854194641;-0.4188287854194641;-0.4036746025085449;-0.4036746025085449;-0.40194815397262573;-0.39472898840904236;-0.39472898840904236;-0.3875750005245209;-0.38897985219955444;-0.38602691888809204;-0.4617660939693451;-0.43073588609695435;-0.41660746932029724;-0.41091519594192505;-0.40569639205932617;-0.3969143033027649;-0.3923090994358063;-0.3826434910297394;-0.3826434910297394;-0.36978259682655334;-0.36978259682655334;-0.4387389123439789;-0.41853514313697815;-0.41035664081573486;-0.4050479531288147;-0.4023911952972412;-0.40051278471946716;-0.3838168978691101;-0.3807874321937561;-0.3734362721443176;-0.3691585063934326;-0.4566849172115326;-0.4436052441596985;-0.4179565906524658;-0.42556503415107727;-0.42556503415107727;-0.4196103811264038;-0.4196103811264038;-0.41140449047088623;-0.41140449047088623;-0.41292184591293335;-0.41292184591293335;-0.4414314329624176;-0.43323323130607605;-0.4255496561527252;-0.423137903213501;-0.43711593747138977;-0.43711593747138977;-0.4403216540813446;-0.4403216540813446;-0.43940046429634094;-0.4440578520298004;-0.4440578520298004;-0.4195970892906189;-0.4554751217365265;-0.4579463303089142;-0.45956626534461975;-0.4605371654033661;-0.45028379559516907;-0.45028379559516907;-0.4361460208892822;-0.44063812494277954;-0.44063812494277954;-0.4440254271030426;-0.44386640191078186;-0.4460686147212982;-0.44562914967536926;-0.4331529438495636;-0.45230984687805176;-0.45032504200935364;-0.45032504200935364;-0.45120811462402344;-0.4436761140823364;-0.4436761140823364;-0.4383467733860016;-0.4392213523387909;-0.4443169832229614;-0.44471660256385803;-0.44471660256385803;-0.4428328275680542;-0.44398170709609985;-0.44530731439590454;-0.45145922899246216;-0.4380255937576294;-0.4231041669845581;-0.44888025522232056;-0.45029217004776;-0.44849690794944763;-0.44126471877098083;-0.4394668936729431;-0.4394668936729431;-0.4441412091255188;-0.4454677700996399;-0.44380486011505127;-0.43961071968078613;-0.43961071968078613;-0.44427669048309326;-0.44562143087387085;-0.44428151845932007;-0.4221673309803009;-0.4097033143043518;-0.3826637268066406;-0.45544835925102234;-0.4479341208934784;-0.44047603011131287;-0.4389553964138031;-0.44011104106903076;-0.4427802860736847;-0.4427802860736847;-0.4429149925708771;-0.44260087609291077;-0.4436088800430298;-0.4514435827732086;-0.4514435827732086;-0.43746381998062134;-0.4069497883319855;-0.3988228440284729;-0.37187162041664124;-0.45054346323013306;-0.4439803957939148;-0.4417077898979187;-0.44228214025497437;-0.4445452094078064;-0.4434328079223633;-0.4449271261692047;-0.4466421902179718;-0.4466421902179718;-0.44944140315055847;-0.4536096155643463;-0.4536096155643463;-0.4355979561805725;-0.39855238795280457;-0.38994380831718445;-0.44828858971595764;-0.4476701021194458;-0.4476701021194458;-0.44768932461738586;-0.4491690695285797;-0.4507930874824524;-0.4507930874824524;-0.451320081949234;-0.4556451439857483;-0.45557931065559387;-0.45803025364875793;-0.45100706815719604;-0.4439654052257538;-0.4074716567993164;-0.4504169821739197;-0.44951602816581726;-0.4461997449398041;-0.4461997449398041;-0.45121893286705017;-0.4526412785053253;-0.4526412785053253;-0.45426857471466064;-0.45430639386177063;-0.45655936002731323;-0.45655936002731323;-0.45841526985168457;-0.4531550705432892;-0.4531550705432892;-0.4269390404224396;-0.43978896737098694;-0.4481953978538513;-0.44620051980018616;-0.44620051980018616;-0.45103719830513;-0.4566096365451813;-0.4566096365451813;-0.4588228166103363;-0.4590529799461365;-0.455301433801651;-0.4554399847984314;-0.4553903639316559;-0.4534991979598999;-0.4407169818878174;-0.43263036012649536;-0.43716105818748474;-0.4498315751552582;-0.4532480239868164;-0.4523288607597351;-0.4523288607597351;-0.4571041166782379;-0.46613264083862305;-0.46565136313438416;-0.4589896500110626;-0.4589896500110626;-0.45303937792778015;-0.452099084854126;-0.4341392517089844;-0.44627854228019714;-0.45482343435287476;-0.45692503452301025;-0.45692503452301025;-0.45451611280441284;-0.4593980312347412;-0.462043434381485;-0.46027806401252747;-0.46027806401252747;-0.4529949724674225;-0.44826990365982056;-0.44504550099372864;-0.44504550099372864;-0.45752808451652527;-0.45824819803237915;-0.4607636332511902;-0.4607636332511902;-0.45842090249061584;-0.45815345644950867;-0.45815345644950867;-0.45427942276000977;-0.44734451174736023;-0.4600256383419037;-0.4600256383419037;-0.4541636109352112;-0.4541636109352112;-0.45719605684280396;-0.4557214677333832;-0.45520174503326416;-0.45233020186424255;-0.460795521736145;-0.4531528353691101;-0.45479798316955566;-0.4568241834640503;-0.4516003429889679;-0.4516003429889679;-0.4523583650588989;-0.4553128480911255;-0.4581746459007263;-0.45676887035369873;-0.45586979389190674;2002-01-04
