POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.00023875365646575493;0.01388428127299829;29.734;-0.2562618885262693;8.616351043975455e-05;0.00698025504492345;12.156;0.5466292079064989;-0.0001525901460260004;-0.006904026228074841;-17.578000000000003;0.29036731938022964;76.04;8.72
75.84_8.72;0.00023919649467530908;0.013862943708022307;35.051;-0.30510670981492405;7.9538594672701e-05;0.0071462509986441715;14.771;0.5660205901532929;-0.0001596579000026081;-0.006716692709378135;-20.28;0.2609138803383688;75.84;8.72
75.64_8.72;0.00010650200402142148;0.008764519716887766;26.375;0.29989549483825995;7.898632640854819e-05;0.00805353487500538;20.555;0.48077331057847794;-2.7515677612873293e-05;-0.0007109848418823863;-5.82;0.180877815740218;75.64;8.72
75.44_8.72;6.192610860209675e-05;0.006023517115839131;14.943;0.4886733780874464;8.133413552321653e-05;0.007990481115969754;18.08;0.32842044006853677;1.940802692111978e-05;0.001966964000130623;3.1369999999999987;-0.1602529380189096;75.44;8.72
76.44_9.72;0.00011877386364340761;0.009768158896836143;13.7;-0.16392647784319347;7.168183493454219e-05;0.00692141460794868;9.223;0.2975526508829732;-4.709202870886542e-05;-0.0028467442888874626;-4.4769999999999985;0.13362617303977975;76.44;9.72
76.24_9.72;0.00011619608765039089;0.009729875207060682;13.271;-0.03571804919396593;8.941937838590862e-05;0.00694567483348781;8.716;0.2029571217522933;-2.6776709264482272e-05;-0.002784200373572872;-4.5550000000000015;0.16723907255832737;76.24;9.72
76.04_9.72;0.00021123526307626275;0.013269771590355087;21.976;-0.21424101767467274;8.50862190147789e-05;0.007957246372515754;11.802;0.5108999526783787;-0.00012614904406148383;-0.005312525217839334;-10.174;0.296658935003706;76.04;9.72
75.84_9.72;0.00024914394730376994;0.014349164631431984;27.55;-0.6178225790879779;7.677252401281578e-05;0.0077097384916247295;13.334;0.5014756563599331;-0.00017237142329095415;-0.006639426139807255;-14.216000000000001;-0.11634692272804481;75.84;9.72
75.64_9.72;0.00023955645635366957;0.013998587559267512;30.364;-0.7396190114268351;0.00010107399175057588;0.008159339290122736;16.484;0.2660175380515998;-0.00013848246460309367;-0.005839248269144776;-13.879999999999999;-0.4736014733752353;75.64;9.72
75.44_9.72;0.00011275154559076264;0.00927756891145398;19.472;0.02170957070923707;0.00010745430974510668;0.008857952467166981;17.28;0.06767111476035237;-5.297235845655953e-06;-0.00041961644428699894;-2.192;0.0459615440511153;75.44;9.72
76.84_10.72;0.00017070621404421395;0.01194682759838134;23.771;-0.7439692728357219;0.0001463704664112008;0.010456415526814962;20.999;-0.4953503438700362;-2.4335747633013146e-05;-0.0014904120715663778;-2.772000000000002;-0.24861892896568571;76.84;10.72
76.64_10.72;0.00017070621404421395;0.01194682759838134;23.771;-0.7439692728357219;0.00010901826597225495;0.008715383617760928;17.144;-0.11375269551816891;-6.1687948071959e-05;-0.0032314439806204118;-6.6270000000000024;-0.630216577317553;76.64;10.72
76.44_10.72;0.00015955098912971404;0.011766114683636706;16.953;-0.4648136360683881;9.245323490190937e-05;0.008322747016606727;11.467;0.1512007545572187;-6.709775422780467e-05;-0.003443367667029979;-5.485999999999999;-0.3136128815111694;76.44;10.72
76.24_10.72;0.00012300106831583465;0.010277284914015432;13.638;-0.04389382558500188;9.976620815502403e-05;0.00843642721221524;10.786;0.15329736464044674;-2.3234860160810622e-05;-0.0018408577018001922;-2.8520000000000003;0.10940353905544487;76.24;10.72
76.04_10.72;6.755313823066897e-05;0.007185781051208744;10.032;0.5017615000310727;9.188709839096176e-05;0.00812321949033715;10.87;0.3222862583751106;2.4333960160292784e-05;0.000937438439128406;0.8379999999999992;-0.17947524165596207;76.04;10.72
75.84_10.72;8.416492294595591e-05;0.008124217338944193;13.775;0.2870849658429422;8.324182647369979e-05;0.007819851479501056;12.487;0.29490401123636945;-9.230964722561186e-07;-0.00030436585944313733;-1.2880000000000003;0.00781904539342726;75.84;10.72
75.64_10.72;9.344282489589721e-05;0.008581858741808146;15.986;0.13485196333147675;0.00012056408109213556;0.00816993910240048;14.125;-0.11625240531641357;2.712125619623835e-05;-0.0004119196394076659;-1.8610000000000007;-0.01859955801506319;75.64;10.72
75.44_10.72;0.00010353123475406797;0.00912162425185358;17.862;-0.023334109394855362;6.419609542208436e-05;0.006881776027020356;12.567;0.3654663320548819;-3.9335139331983615e-05;-0.002239848224833224;-5.294999999999998;0.3421322226600265;75.44;10.72
75.24_10.72;0.0001169070252579308;0.009695122875042702;18.624;-0.08956867082541797;5.239862751161358e-05;0.0060682988950114996;10.918;0.5116469450407817;-6.45083977463172e-05;-0.0036268239800312024;-7.7059999999999995;0.4220782742153637;75.24;10.72
77.24_11.72;9.11261223422596e-05;0.007215195742128742;17.809;0.23219440841953032;7.547009965967982e-05;0.007342022383338456;14.647;0.3641080841978839;-1.5656022682579773e-05;0.00012682664120971382;-3.162000000000001;0.13191367577835356;77.24;11.72
77.04_11.72;9.421270635634597e-05;0.00788240321276587;17.546;0.0050824220843386225;8.449684805327967e-05;0.008149735798405036;15.827;0.10768512382285389;-9.7158583030663e-06;0.00026733258563916597;-1.7189999999999994;0.10260270173851527;77.04;11.72
76.84_11.72;0.0002003205815069454;0.012582835461937086;28.486;-0.9654845281462228;6.628332705037147e-05;0.00710110145586888;14.334;0.34964818486689464;-0.00013403725445657394;-0.005481734006068206;-14.152000000000001;-0.6158363432793281;76.84;11.72
76.64_11.72;0.00023492856055830602;0.014076259586701372;29.044;-1.248977951012828;5.951940643302587e-05;0.006589707115694859;12.524;0.4302189890955187;-0.00017540915412528015;-0.007486552471006513;-16.520000000000003;-0.8187589619173093;76.64;11.72
76.44_11.72;0.00015315343828326984;0.01158461265308281;18.93;-0.47213312672829133;6.914017900698528e-05;0.006961182601334727;10.767;0.33541454214139166;-8.401325927628456e-05;-0.004623430051748083;-8.163;-0.13671858458689967;76.44;11.72
76.24_11.72;0.00015315343828326984;0.01158461265308281;18.93;-0.47213312672829133;6.560981299186773e-05;0.006950881449642275;10.765;0.36934893381151335;-8.754362529140211e-05;-0.004633731203440535;-8.165;-0.10278419291677798;76.24;11.72
76.04_11.72;9.143669875094534e-05;0.008904771482201217;13.829;0.1629903081191566;7.547152251460177e-05;0.00724805260761621;10.878;0.30913520863446675;-1.5965176236343567e-05;-0.0016567188745850074;-2.9510000000000005;0.14614490051531015;76.04;11.72
75.84_11.72;7.024401600111507e-05;0.0074903554356507045;14.338;0.32511872418913323;7.86843929938408e-05;0.007888465532619411;14.399;0.24402637330354315;8.44037699272574e-06;0.00039811009696870663;0.06099999999999994;-0.08109235088559008;75.84;11.72
75.64_11.72;7.024401600111507e-05;0.0074903554356507045;14.338;0.32511872418913323;7.06466540794784e-05;0.007129870743863084;13.019;0.3212503106859592;4.026380783633403e-07;-0.00036048469178762057;-1.318999999999999;-0.0038684135031740174;75.64;11.72
75.44_11.72;0.00011926378789625812;0.01007122242611359;20.743;-0.2747582636411343;6.533110257394154e-05;0.0070083224907379815;13.377;0.3017045295311177;-5.393268532231658e-05;-0.0030628999353756086;-7.365999999999998;0.02694626588998339;75.44;11.72
75.24_11.72;0.0002789943533178376;0.015600221002608274;32.376;-1.9272075720838666;5.5415079355359385e-05;0.005696566528380009;11.358;0.41858522236168383;-0.00022357927396247825;-0.009903654474228266;-21.017999999999997;-1.5086223497221827;75.24;11.72
75.04_11.72;0.00029134260463088783;0.015944044988890772;31.167;-1.8620115645395643;6.528756297015746e-05;0.006085001055933623;11.572;0.358645947172995;-0.00022605504166073038;-0.00985904393295715;-19.595000000000002;-1.5033656173665693;75.04;11.72
77.44_12.72;0.00012877832929387333;0.009901628586605924;22.718;0.5903079793349891;0.0001511504646297566;0.010431508382908062;21.198;0.5191338510277882;2.2372135335883283e-05;0.0005298797963021375;-1.5199999999999996;-0.07117412830720093;77.44;12.72
77.24_12.72;8.5586727202803e-05;0.007684093002329234;20.41;0.4901512142763197;8.131161217190156e-05;0.007590931358479108;16.348;0.5156185066775036;-4.275115030901439e-06;-9.316164385012645e-05;-4.062000000000001;0.02546729240118395;77.24;12.72
77.04_12.72;7.526001194720959e-05;0.006491254007830373;15.981;0.3515578868285424;8.180555754167107e-05;0.007672548668209643;15.304;0.295161305067302;6.545545594461482e-06;0.0011812946603792706;-0.6769999999999996;-0.056396581761240405;77.04;12.72
76.84_12.72;0.00012176539343322729;0.008971376829607813;20.233;-0.39841707209187716;8.265437376296552e-05;0.007805356333404114;15.358;0.05075420779075768;-3.911101967026177e-05;-0.001166020496203699;-4.875;-0.3476628643011195;76.84;12.72
76.64_12.72;0.00019199057188992673;0.012197211721576218;27.023;-1.0147481726888623;6.987882556136323e-05;0.007129626313783646;14.182;0.2666919280280181;-0.0001221117463285635;-0.005067585407792573;-12.841;-0.7480562446608442;76.64;12.72
76.44_12.72;0.00019199057188992673;0.012197211721576218;27.023;-1.0147481726888623;7.65008055819085e-05;0.007390945534621592;14.795;0.19720090034555016;-0.00011548976630801823;-0.004806266186954626;-12.228;-0.8175472723433121;76.44;12.72
76.24_12.72;0.0001808958721552462;0.012361949108108543;25.294;-0.8784656586873645;0.00012768579196771127;0.008937849721654586;17.744;-0.3259195605513905;-5.321008018753493e-05;-0.0034240993864539573;-7.550000000000001;-0.552546098135974;76.24;12.72
76.04_12.72;0.00013399148361727066;0.010782480123735094;21.315;-0.3923053363025628;0.00016045031688783539;0.010266558324048077;19.527;-0.6672390392547018;2.6458833270564727e-05;-0.000515921799687017;-1.7880000000000003;0.27493370295213904;76.04;12.72
75.84_12.72;0.0001396207445946936;0.010890876289408232;24.746;-0.4804037504035208;0.00017043618811516818;0.010713493859716492;23.338;-0.807141000591429;3.081544352047459e-05;-0.00017738242969174076;-1.4079999999999977;0.3267372501879082;75.84;12.72
75.64_12.72;0.0001396207445946936;0.010890876289408232;24.746;-0.4804037504035208;0.00013558250028736674;0.009358187683861074;20.249;-0.43758610152930366;-4.038244307326855e-06;-0.0015326886055471584;-4.497;-0.04281764887421713;75.64;12.72
75.44_12.72;0.0001396207445946936;0.010890876289408232;24.746;-0.4804037504035208;0.00012830887962501225;0.009134620233049359;19.861;-0.3604636414047686;-1.1311864969681344e-05;-0.0017562560563588736;-4.884999999999998;-0.11994010899875218;75.44;12.72
75.24_12.72;0.00021753588093763;0.013694068849246588;33.297;-1.3460393063850198;4.438539230175082e-05;0.005391210099975326;11.749;0.5213209217697669;-0.0001731504886358792;-0.008302858749271263;-21.547999999999995;-0.8247183846152529;75.24;12.72
75.04_12.72;0.00023634986855688303;0.014322501194922775;32.241;-1.4770808824077566;4.883954715406848e-05;0.005318888907418422;11.232;0.4881338022336209;-0.00018751032140281454;-0.009003612287504355;-21.009;-0.9889470801741357;75.04;12.72
74.84_12.72;0.00016844956069961764;0.012037726318369335;21.477;-0.31552410896721006;5.801583311098905e-05;0.005270799407331353;8.333;0.546919405177781;-0.00011043372758862859;-0.0067669269110379815;-13.144;0.23139529621057098;74.84;12.72
76.84_13.72;9.025869970289407e-05;0.008642889041577258;17.838;0.5257311091231702;7.621058042027077e-05;0.00735092502115967;15.464;0.5995476605803316;-1.40481192826233e-05;-0.0012919640204175882;-2.3740000000000006;0.07381655145716137;76.84;13.72
76.64_13.72;7.064201707754584e-05;0.006829202784081033;14.118;0.08951347636147122;8.226129723708833e-05;0.007469075997475491;13.351;-0.060244393491407644;1.1619280159542482e-05;0.0006398732133944575;-0.7669999999999995;-0.02926908287006358;76.64;13.72
76.44_13.72;7.064201707754584e-05;0.006829202784081033;14.118;0.08951347636147122;9.7110135548439e-05;0.007925566820657369;14.01;-0.2516271955896454;2.6468118470893162e-05;0.0010963640365763356;-0.10800000000000054;0.1621137192281742;76.44;13.72
76.24_13.72;9.345033894062822e-05;0.008479563735592418;17.912;-0.2271499238657544;0.00012113070098085523;0.008957958583138874;17.238;-0.5906366116114454;2.7680362040227014e-05;0.00047839484754645667;-0.6739999999999995;0.36348668774569104;76.24;13.72
