POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;9.546438213214736e-05;0.00811757230982904;14.47;0.23692682458578596;0.00021858226448184318;0.012179138923165484;19.351;-0.7471884164766638;0.0001231178823496958;0.004061566613336445;4.8809999999999985;0.5102615918908778;76.04;8.72
75.84_8.72;9.676506698583573e-05;0.008235376743439781;17.145;0.2207044454577911;0.00015376645240392222;0.01021713529202647;18.847;-0.23835508545292639;5.700138541808649e-05;0.0019817585485866884;1.7020000000000017;0.017650639995135275;75.84;8.72
75.64_8.72;7.007515985546159e-05;0.0064703857473230346;15.431;0.40156650192887455;0.00015470358119531603;0.009325067957976092;21.68;-0.32115011153453366;8.462842133985445e-05;0.0028546822106530574;6.2490000000000006;-0.0804163903943409;75.64;8.72
75.44_8.72;8.206264894133645e-05;0.007104876304666542;14.433;0.17941660563646789;8.9777591804914e-05;0.006994678200269544;15.359;0.10227122848881087;7.714942863577552e-06;-0.00011019810439699858;0.9260000000000002;-0.07714537714765701;75.44;8.72
76.44_9.72;9.633944568779205e-05;0.008436008048183712;11.491;0.28629293742745876;9.443837581696868e-05;0.007468229929188103;9.765;0.3003765454819156;-1.9010698708233682e-06;-0.0009677781189956092;-1.725999999999999;0.014083608054456853;76.44;9.72
76.24_9.72;8.790043385483193e-05;0.007916898964793148;10.276;0.36265798533535054;0.00010092476250232206;0.007280236994225387;8.8;0.26822213905096315;1.3024328647490138e-05;-0.0006366619705677617;-1.475999999999999;-0.09443584628438739;76.24;9.72
76.04_9.72;9.365672001321746e-05;0.0083972864540269;12.076;0.2339430648567712;0.0001314712897798695;0.009120380002894507;12.293;-0.07535789523571435;3.7814569766652045e-05;0.0007230935488676069;0.21699999999999875;-0.15858516962105684;76.04;9.72
75.84_9.72;0.00010734012326548046;0.009068803090617462;15.277;0.054835983615465156;0.00010076333947184045;0.007810145287742956;12.069;0.11274666227115626;-6.576783793640017e-06;-0.0012586578028745054;-3.2079999999999984;0.057910678655691106;75.84;9.72
75.64_9.72;0.00010557404588939392;0.008973761595698931;17.234;0.04895042282975515;9.41285042721066e-05;0.007356199973392848;13.444;0.15205604338170065;-1.1445541617287311e-05;-0.0016175616223060834;-3.790000000000001;0.1031056205519455;75.64;9.72
75.44_9.72;6.902120534747554e-05;0.006436603827798097;11.826;0.320616858687253;0.0001119808093205195;0.007982877591832407;14.458;-0.10223913969507104;4.295960397304396e-05;0.0015462737640343097;2.6319999999999997;-0.21837771899218195;75.44;9.72
76.84_10.72;0.00012397491966408247;0.010348031345872382;20.283;0.04767710389453461;8.457842298603078e-05;0.008198314111063549;15.914;0.35030432813076984;-3.939649667805169e-05;-0.0021497172348088327;-4.3690000000000015;0.3026272242362352;76.84;10.72
76.64_10.72;0.00012397491966408247;0.010348031345872382;20.283;0.04767710389453461;0.00010439086339479095;0.00926315560422953;18.073;0.19811354083192767;-1.958405626929152e-05;-0.001084875741642852;-2.210000000000001;0.15043643693739306;76.64;10.72
