POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.00032505081477953834;0.01556636290906284;24.465;0.00038213105250626915;0.016635062138045168;25.966;5.708023772673081e-05;0.001068699228982329;1.5010000000000012;76.04;8.72
75.84_8.72;0.000481432549901815;0.019870849183679797;35.154;0.0006081893401816223;0.019277248186368;34.179;0.0001267567902798073;-0.0005936009973117953;-0.9750000000000014;75.84;8.72
75.64_8.72;0.0004169810176251132;0.018667491993728434;38.684;0.00045199793747733707;0.015518496091083472;34.57;3.501691985222387e-05;-0.003148995902644962;-4.113999999999997;75.64;8.72
75.44_8.72;0.0002544065145523749;0.014311275666093196;27.859;0.0002509485484540444;0.011674397662140536;24.23;-3.4579660983304625e-06;-0.00263687800395266;-3.6290000000000013;75.44;8.72
76.44_9.72;6.761207490095225e-05;0.006191321489498083;8.366;0.0007723459887203596;0.019291637248910278;23.605;0.0007047339138194073;0.013100315759412194;15.239;76.44;9.72
76.24_9.72;7.768257846245524e-05;0.006346052119681469;7.948;0.00043249295715308545;0.014651851660789075;17.141;0.0003548103786906302;0.008305799541107606;9.192999999999998;76.24;9.72
76.04_9.72;0.00024145245456171308;0.01319045625245061;17.386;0.000327142924529477;0.014668624180388251;19.167;8.569046996776393e-05;0.0014781679279376406;1.7810000000000024;76.04;9.72
75.84_9.72;0.00045584609722020475;0.01890918038551356;28.806;0.000309535646831205;0.012545409183421882;18.783;-0.00014631045038899972;-0.006363771202091677;-10.023;75.84;9.72
75.64_9.72;0.0006459455669062309;0.022904886044702873;39.589;0.00022836100574704282;0.011613141853135686;21.039;-0.0004175845611591881;-0.011291744191567187;-18.549999999999997;75.64;9.72
75.44_9.72;0.0006236771324994385;0.023162005335345237;39.901;0.0003064812213216723;0.013226266002990867;24.242;-0.0003171959111777662;-0.00993573933235437;-15.659000000000002;75.44;9.72
76.84_10.72;8.445392577605122e-05;0.007429456813788026;15.203;0.00019356458236067462;0.01197995909309664;23.988;0.0001091106565846234;0.004550502279308614;8.785;76.84;10.72
76.64_10.72;6.029782736033822e-05;0.005864264616671659;11.509;0.0008242401795341382;0.022514424017551077;39.645;0.0007639423521738;0.016650159400879418;28.136000000000003;76.64;10.72
76.44_10.72;6.523706931031316e-05;0.0062050005512142665;8.604;8.607707860814612e-05;0.007247899521041275;10.364;2.0840009297832968e-05;0.0010428989698270082;1.7600000000000016;76.44;10.72
76.24_10.72;8.763309411022469e-05;0.006681365385390217;8.389;8.632166942855193e-05;0.007199982008790848;9.15;-1.3114246816727643e-06;0.000518616623400631;0.761000000000001;76.24;10.72
