POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.00017806942872000112;0.010854384745047853;26.975;0.0003759953869213279;0.01605504686005715;29.007;0.00019792595820132677;0.005200662115009297;2.032;76.04;8.72
75.84_8.72;0.00026770673319807597;0.013655849229143573;42.972;0.00032395622724787284;0.014870281186614738;34.75;5.6249494049796865e-05;0.001214431957471165;-8.222000000000001;75.84;8.72
75.64_8.72;0.00018894896654280443;0.010570685819326006;43.628;0.00023220598362309167;0.012170542198446821;42.283;4.325701708028724e-05;0.0015998563791208148;-1.3449999999999989;75.64;8.72
75.44_8.72;0.0006034304851686968;0.019836962968131075;49.52;0.0009442347890448049;0.024792087080201305;69.262;0.0003408043038761081;0.00495512411207023;19.741999999999997;75.44;8.72
76.44_9.72;0.0007053230094881174;0.023873002978015978;32.798;0.0013166535955415266;0.030054480240972025;41.996;0.0006113305860534091;0.006181477262956047;9.198;76.44;9.72
76.24_9.72;0.0005915002210866684;0.021492392162879854;28.623;0.00270766904748144;0.044013577825345936;61.495;0.0021161688263947715;0.02252118566246608;32.872;76.24;9.72
76.04_9.72;0.00018993302678772505;0.010521645632515104;20.865;0.00036212616952201426;0.015509560386505314;25.579;0.00017219314273428921;0.00498791475399021;4.714000000000002;76.04;9.72
75.84_9.72;0.00026247663212490254;0.013474428521657532;31.352;0.00019555675296897924;0.011126567895359676;22.8;-6.69198791559233e-05;-0.002347860626297856;-8.552;75.84;9.72
75.64_9.72;0.00021566439560200635;0.012191395945434492;33.369;0.0006822861389670133;0.02161278557496174;48.64;0.00046662174336500694;0.009421389629527249;15.271;75.64;9.72
75.44_9.72;0.000427698269484143;0.01689857779748252;44.6;0.0008499854228942406;0.02521382945439388;53.429;0.0004222871534100976;0.008315251656911361;8.829;75.44;9.72
76.84_10.72;0.00010814335346120366;0.008500892932811468;17.276;0.000368553084677554;0.016998910956710033;34.95;0.00026040973121635035;0.008498018023898565;17.674000000000003;76.84;10.72
76.64_10.72;8.645981314632343e-05;0.007165857961704502;15.452;0.001418920923469554;0.031699400726266744;63.762;0.0013324611103232306;0.024533542764562242;48.31;76.64;10.72
76.44_10.72;0.00043787361684254614;0.018350250890408558;25.801;0.0004406163351800405;0.017559301365418632;25.471;2.7427183374943817e-06;-0.0007909495249899257;-0.3299999999999983;76.44;10.72
76.24_10.72;0.0003201627074371824;0.015369155977688181;20.16;0.0022802764055522666;0.040348916125209355;53.085;0.0019601136981150843;0.024979760147521173;32.925;76.24;10.72
76.04_10.72;8.983162403117321e-05;0.006843551489125349;10.484;0.0030469708627487847;0.04936368485760912;66.3;0.0029571392387176113;0.04252013336848377;55.815999999999995;76.04;10.72
75.84_10.72;0.0001310808084800977;0.008766451217025621;17.578;0.00018967092947740695;0.011108324943455735;19.806;5.859012099730925e-05;0.0023418737264301135;2.2280000000000015;75.84;10.72
75.64_10.72;0.00021422153451363283;0.011656466068962425;25.544;0.0015535925555370345;0.03282015789414232;61.363;0.0013393710210234016;0.021163691825179895;35.819;75.64;10.72
75.44_10.72;0.00025299011330643983;0.012006695430204004;35.446;0.0018632357283789704;0.03575747002123326;72.681;0.0016102456150725306;0.023750774591029256;37.235;75.44;10.72
75.24_10.72;0.0002700906824067501;0.013126739488586807;35.879;0.0003819514331635048;0.015356586176340954;32.524;0.0001118607507567547;0.0022298466877541476;-3.354999999999997;75.24;10.72
77.24_11.72;0.00026293211917087175;0.013656278357736815;35.527;0.0005576770114492604;0.0211258279332426;40.951;0.00029474489227838865;0.007469549575505786;5.4239999999999995;77.24;11.72
77.04_11.72;8.55608704740354e-05;0.007958394901763302;16.273;0.0007601173362752499;0.025728873047956017;48.081;0.0006745564658012144;0.017770478146192717;31.808000000000003;77.04;11.72
76.84_11.72;7.212305799864246e-05;0.006988775005345237;15.367;0.0017863581241880546;0.03741153371383224;68.976;0.0017142350661894122;0.030422758708487003;53.608999999999995;76.84;11.72
76.64_11.72;7.864559775485147e-05;0.006628627245789571;13.274;0.00013316960457995051;0.008792131425523052;18.802;5.452400682509905e-05;0.0021635041797334817;5.5280000000000005;76.64;11.72
76.44_11.72;0.00011076896518655067;0.008627434434661418;13.916;0.00015456234508660273;0.008932669357355863;15.333;4.3793379900052055e-05;0.00030523492269444487;1.4169999999999998;76.44;11.72
76.24_11.72;0.00011630447485662927;0.008738705466408309;14.389;0.0004115554757428342;0.016809976371059746;28.395;0.0002952510008862049;0.008071270904651437;14.006;76.24;11.72
76.04_11.72;0.00017975867714941344;0.011464396084407278;17.494;0.0023604586905694213;0.04104604250890922;62.966;0.002180700013420008;0.02958164642450194;45.472;76.04;11.72
75.84_11.72;0.00010029185404284345;0.007619448064301395;16.359;0.0005710437134369031;0.018775771559709914;38.174;0.00047075185939405965;0.011156323495408519;21.814999999999998;75.84;11.72
75.64_11.72;0.00017408847628900368;0.01105089536063922;22.008;0.002963760736808797;0.0472948905741051;91.252;0.0027896722605197932;0.036243995213465885;69.244;75.64;11.72
75.44_11.72;0.00011159535487666908;0.007187218247744512;22.264;0.0006332375382023545;0.022828234523142203;46.031;0.0005216421833256854;0.01564101627539769;23.767;75.44;11.72
75.24_11.72;0.0012789247165874557;0.034928924701499;81.51;0.0003941923685302835;0.01570089562525952;33.867;-0.0008847323480571721;-0.019228029076239477;-47.64300000000001;75.24;11.72
75.04_11.72;0.0025544237095054493;0.04984646605509452;106.252;0.00022746279145413161;0.012159754495071597;26.733;-0.0023269609180513176;-0.03768671156002292;-79.51899999999999;75.04;11.72
77.44_12.72;0.0011276845240989943;0.03228052613560541;90.138;0.00033459276135697045;0.015092126794857507;31.475;-0.000793091762742024;-0.017188399340747906;-58.663000000000004;77.44;12.72
77.24_12.72;0.00019842710399086365;0.012420923656352808;32.991;0.00038418366641353066;0.017200827331630694;34.96;0.000185756562422667;0.004779903675277886;1.9690000000000012;77.24;12.72
77.04_12.72;0.0001670478129448756;0.010894066768091026;26.358;0.0006341423593572471;0.02251514133107099;43.148;0.00046709454641237144;0.011621074562979963;16.790000000000003;77.04;12.72
76.84_12.72;0.00011818573440237181;0.009187443236711638;17.255;0.00036041517661042745;0.015527623108031107;27.984;0.00024222944220805566;0.006340179871319469;10.729000000000003;76.84;12.72
76.64_12.72;0.0001209799148829357;0.009340135327974673;17.573;0.00041954025926840344;0.018830325890473003;34.052;0.00029856034438546775;0.00949019056249833;16.479;76.64;12.72
76.44_12.72;0.00013027459551651885;0.009741765500262593;18.196;0.0010188623789448934;0.028198838798621527;50.266;0.0008885877834283746;0.018457073298358932;32.06999999999999;76.44;12.72
76.24_12.72;9.91774105612611e-05;0.007230407068796708;17.076;0.00034001944096020606;0.015029109764728842;30.379;0.00024084203039894498;0.007798702695932133;13.303;76.24;12.72
76.04_12.72;8.956863215463847e-05;0.008208819539251304;17.091;0.001279828379101158;0.030211490888054558;61.156;0.0011902597469465195;0.02200267134880325;44.065;76.04;12.72
75.84_12.72;8.016233929094114e-05;0.007235160089965351;16.706;0.00032439244433903584;0.015474987430293461;30.76;0.0002442301050480947;0.008239827340328111;14.054000000000002;75.84;12.72
75.64_12.72;6.354332408626185e-05;0.006305121880458369;14.627;0.002413631700723083;0.04174056898279772;89.117;0.0023500883766368213;0.03543544710233935;74.49000000000001;75.64;12.72
75.44_12.72;5.84593663058062e-05;0.005785221620662341;14.774;0.0003858556192623503;0.01521453670654004;40.426;0.00032739625295654415;0.0094293150858777;25.652;75.44;12.72
75.24_12.72;9.395156159739619e-05;0.007488513870339803;24.309;0.00028658022669357356;0.014625357231985709;33.843;0.00019262866509617738;0.007136843361645905;9.534000000000002;75.24;12.72
75.04_12.72;0.00029740579198460885;0.015326917230579655;42.762;0.0002612904888779818;0.014605213880257461;31.042;-3.611530310662707e-05;-0.0007217033503221938;-11.719999999999999;75.04;12.72
74.84_12.72;0.0004138460955907917;0.0166858547873784;38.024;0.00039207649733342996;0.016788288357286008;30.664;-2.1769598257361715e-05;0.00010243356990760968;-7.359999999999999;74.84;12.72
76.84_13.72;0.0003269304446901478;0.016467097491194647;37.773;0.0003394704577960622;0.015432557269518515;28.619;1.2540013105914424e-05;-0.0010345402216761328;-9.154000000000003;76.84;13.72
76.64_13.72;0.00014071347987864265;0.009655949433898308;16.517;0.0006109674913263465;0.020165614365628;34.207;0.0004702540114477038;0.01050966493172969;17.69;76.64;13.72
76.44_13.72;0.00015376788140959466;0.010095740029157599;17.16;0.0011675574869387585;0.03188652282662438;54.323;0.0010137896055291639;0.02179078279746678;37.163;76.44;13.72
76.24_13.72;0.00011450155562252497;0.008877140146413278;16.764;0.0020965869239581033;0.03959305325571715;74.726;0.0019820853683355784;0.030715913109303876;57.962;76.24;13.72
76.04_13.72;0.00011807981350640435;0.009124613700051297;16.762;0.0003284161029415289;0.015281484069434328;27.717;0.00021033628943512454;0.006156870369383031;10.954999999999998;76.04;13.72
75.84_13.72;0.0001326882426087404;0.00986187325886309;17.974;0.0003773317094649478;0.014252885496992862;30.837;0.0002446434668562074;0.004391012238129771;12.863;75.84;13.72
75.64_13.72;0.00027545007087697806;0.014422213632537697;27.99;0.00036018013770370487;0.01586173899332924;31.598;8.473006682672681e-05;0.0014395253607915413;3.6080000000000005;75.64;13.72
75.44_13.72;0.00026214649376853365;0.014009240728372053;27.388;0.0007175926090259863;0.02486503479091774;50.731;0.00045544611525745265;0.010855794062545686;23.343;75.44;13.72
75.24_13.72;0.00017730134058061762;0.011747457778929084;28.163;0.0007025699982224452;0.024521230393517966;56.63;0.0005252686576418277;0.012773772614588882;28.467000000000002;75.24;13.72
75.04_13.72;9.508338105885592e-05;0.00813603547251521;25.655;0.0005895748365372679;0.021156643819755155;48.678;0.0004944914554784119;0.013020608347239945;23.022999999999996;75.04;13.72
74.84_13.72;0.0002334025948903783;0.012725758166874192;50.613;0.0003524130630433456;0.016280662572774055;45.392;0.00011901046815296731;0.0035549044058998634;-5.2209999999999965;74.84;13.72
76.64_14.72;0.002044643263663586;0.04399443835906859;104.99;0.00021394569746330903;0.011065000169685528;24.151;-0.0018306975662002768;-0.03292943818938306;-80.839;76.64;14.72
76.44_14.72;8.57989038105681e-05;0.008037069620008119;16.282;0.00029089291438174605;0.013628874581769703;24.66;0.00020509401057117795;0.005591804961761584;8.378;76.44;14.72
