POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.0001768833135802219;0.009122218993281637;19.431;0.14058474021084155;0.0002054818969179305;0.01152689339641607;23.645;0.0016340476254051994;2.859858333770861e-05;0.002404674403134433;4.213999999999999;-0.13895069258543635;76.04;8.72
75.84_8.72;0.00016778422927581722;0.00967477105457449;27.783;0.1463972636259978;0.0002196508563733733;0.012998782641391086;33.367;-0.1174743470018611;5.186662709755609e-05;0.003324011586816597;5.583999999999996;-0.028922916624136707;75.84;8.72
75.64_8.72;0.00015651727937983608;0.009210645231706279;38.85;0.06779636495308894;0.00013599230071409404;0.010117398562478546;36.522;0.19004139628302885;-2.0524978665742042e-05;0.0009067533307722669;-2.328000000000003;0.12224503132993991;75.64;8.72
75.44_8.72;0.00017266930692106189;0.009871113339293336;35.692;-0.06928631771084959;0.00012470777139335089;0.00891648727119598;24.634;0.2277242780381079;-4.7961535527711e-05;-0.000954626068097356;-11.058;0.15843796032725832;75.44;8.72
76.44_9.72;0.0002796384618629054;0.013941984669916545;19.216;-0.5243639818992543;0.00019728233943242202;0.009857185352564317;14.458;-0.07542464113195546;-8.23561224304834e-05;-0.004084799317352228;-4.758000000000001;-0.4489393407672988;76.44;9.72
76.24_9.72;0.0003389653261954415;0.015403085463898352;20.386;-0.8794226606855844;0.00030511213267553523;0.012765089699462039;17.196;-0.6917206920151915;-3.385319351990629e-05;-0.0026379957644363135;-3.1899999999999977;-0.1877019686703929;76.24;9.72
76.04_9.72;0.0002093611769594009;0.010816887909423945;16.649;0.02589595277367296;0.00015120474658666282;0.009127814876017548;14.962;0.29648295950083636;-5.815643037273809e-05;-0.0016890730334063967;-1.6870000000000012;0.2705870067271634;76.04;9.72
75.84_9.72;0.00013543985956774;0.008132868821053449;17.399;0.3327066013487975;0.00013987976631690228;0.009502616867363126;20.19;0.3108317967395894;4.439906749162262e-06;0.001369748046309677;2.7910000000000004;-0.0218748046092081;75.84;9.72
75.64_9.72;0.00016869609118238112;0.010075481767560278;28.119;0.12117459557944055;0.0001038571873472021;0.007800483600008782;20.061;0.4589540632941511;-6.483890383517901e-05;-0.0022749981675514964;-8.058;0.33777946771471057;75.64;9.72
75.44_9.72;0.00025937223688333343;0.013259606471111211;40.75;-0.3225598989073222;0.00017295220500789971;0.01060384171863951;23.916;0.11810279496515952;-8.642003187543372e-05;-0.002655764752471701;-16.834;-0.20445710394216265;75.44;9.72
76.84_10.72;0.0001189182132122771;0.00796533402224015;16.268;0.29400244098033657;9.768696054434358e-05;0.007164461107426531;15.065;0.4200488400439857;-2.123125266793352e-05;-0.0008008729148136192;-1.2030000000000012;0.12604639906364912;76.84;10.72
76.64_10.72;0.0001189182132122771;0.00796533402224015;16.268;0.29400244098033657;8.417300257367548e-05;0.006875177886252414;14.938;0.5002789501529812;-3.474521063860162e-05;-0.001090156135987736;-1.33;0.20627650917264462;76.64;10.72
76.44_10.72;0.00020499362136004558;0.011534575224009741;16.179;-0.15110317229368464;0.00011695076917128422;0.00811475048127497;11.545;0.3432849251499178;-8.804285218876135e-05;-0.0034198247427347714;-4.633999999999999;0.19218175285623318;76.44;10.72
76.24_10.72;0.00032394368699506157;0.01518825584622271;19.354;-0.7569510275047513;0.00019686090964857498;0.009662376936410363;12.437;-0.06770093497101115;-0.0001270827773464866;-0.005525878909812347;-6.917;-0.6892500925337401;76.24;10.72
76.04_10.72;0.00045062144338285556;0.018634507791111185;24.96;-1.2243111503504425;0.00023153245040827993;0.012364760626052473;16.638;-0.14286663156760837;-0.00021908899297457563;-0.006269747165058712;-8.322;-1.081444518782834;76.04;10.72
75.84_10.72;0.00018113116606556338;0.011008637593182562;18.389;0.05000464551835837;0.00010228307100034185;0.007535537943790824;12.596;0.4635465314827766;-7.884809506522154e-05;-0.0034730996493917378;-5.792999999999999;0.4135418859644182;75.84;10.72
75.64_10.72;0.00010873309913574672;0.007709654770779699;16.989;0.41189695792137304;0.00014233726319347418;0.009096795490806803;16.435;0.23014263227499165;3.360416405772746e-05;0.0013871407200271033;-0.554000000000002;-0.1817543256463814;75.64;10.72
75.44_10.72;0.00012527899412999514;0.008284848124906007;23.597;0.31704175000634505;0.0001039904852107456;0.0071865334129636894;14.778;0.4330960246868911;-2.1288508919249533e-05;-0.0010983147119423171;-8.819;0.11605427468054608;75.44;10.72
75.24_10.72;0.00015139723005785262;0.009431470701921876;25.936;0.19745421131671026;0.00011067242375529672;0.007951366181622748;16.719;0.4133334700096847;-4.07248063025559e-05;-0.0014801045202991279;-9.216999999999999;0.21587925869297442;75.24;10.72
77.24_11.72;0.00010811701361490174;0.00837054832202246;23.138;0.454419836496911;0.00011068815127199583;0.008304133205219121;21.835;0.44144535952566577;2.5711376570940973e-06;-6.641511680333806e-05;-1.3030000000000008;-0.012974476971245208;77.24;11.72
77.04_11.72;9.608204193777764e-05;0.007513172131486756;19.85;0.5169878230929404;8.411706132966084e-05;0.007196849546061912;18.456;0.5771367459678296;-1.1964980608116798e-05;-0.000316322585424844;-1.394000000000002;0.060148922874889155;77.04;11.72
