POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.00018178150600110468;0.011970941564161609;24.58;-0.1670687290952857;0.00014958851484803774;0.010002484704975811;18.303;0.03961584568515031;-3.2192991153066935e-05;-0.0019684568591857975;-6.2769999999999975;-0.1274528834101354;76.04;8.72
75.84_8.72;0.00021408665046292148;0.013156764480789413;31.646;-0.43737062596714904;0.00013845689249569222;0.01025036042839605;21.75;0.07040504484670129;-7.562975796722925e-05;-0.0029064040523933635;-9.896;-0.36696558112044775;75.84;8.72
75.64_8.72;0.0001038048214831431;0.008731472408374573;24.861;0.13252440490891748;0.0002337999609048836;0.01185136993403745;29.74;-0.9538183036244712;0.0001299951394217405;0.0031198975256628778;4.878999999999998;0.8212938987155537;75.64;8.72
75.44_8.72;7.013953923906078e-05;0.006838791970887789;16.324;0.26717847130958083;0.00041226726940440104;0.016522361683236834;36.971;-3.307389724421059;0.00034212773016534026;0.009683569712349046;20.646999999999995;3.0402112531114778;75.44;8.72
76.44_9.72;5.918055971969162e-05;0.0059490795360450386;7.989;0.32588436023001344;0.0002885445158594624;0.012682622183977022;17.266;-2.2867612579541197;0.0002293639561397708;0.006733542647931984;9.276999999999997;1.9608768977241062;76.44;9.72
76.24_9.72;5.785596809533438e-05;0.005940107745812219;7.728;0.3778910102616496;0.00030192518374277087;0.013309831491682748;17.673;-2.2465167763726006;0.00024406921564743648;0.007369723745870528;9.944999999999999;1.8686257661109509;76.24;9.72
76.04_9.72;0.00011421371626735895;0.009281144916645494;14.9;0.1995855190060024;0.0001473828745998609;0.009627635743953412;14.476;-0.032865324197185686;3.316915833250194e-05;0.000346490827307918;-0.4239999999999995;-0.16672019480881672;76.04;9.72
75.84_9.72;0.0001792826146398682;0.012127531529343365;22.508;-0.40534308440820777;0.0001411691182210437;0.00950845364043569;16.361;-0.10658272372066935;-3.8113496418824497e-05;-0.002619077888907674;-6.1469999999999985;-0.2987603606875384;75.84;9.72
75.64_9.72;0.00022531204023978888;0.013692881680497829;28.638;-0.997901510086822;0.00014519103439264962;0.009549883503867942;18.544;-0.2874473399443136;-8.012100584713926e-05;-0.004142998176629886;-10.094000000000001;-0.7104541701425084;75.64;9.72
75.44_9.72;0.00014192257388357082;0.010532937782711721;21.657;-0.5490552693935378;0.00020079389555451932;0.010792730208815337;20.147;-1.191623456786746;5.88713216709485e-05;0.00025979242610361594;-1.5100000000000016;0.6425681873932083;75.44;9.72
76.84_10.72;9.887928175177402e-05;0.009000020304118544;17.023;-0.08070410044265142;0.00014388785229548263;0.00996359777437992;19.011;-0.5726266334537244;4.5008570543708605e-05;0.0009635774702613769;1.9879999999999995;0.491922533011073;76.84;10.72
76.64_10.72;9.887928175177402e-05;0.009000020304118544;17.023;-0.08070410044265142;0.0001486351642782775;0.010824955897838894;20.439;-0.6245125233489033;4.975588252650347e-05;0.0018249355937203504;3.4160000000000004;0.5438084229062519;76.64;10.72
76.44_10.72;8.631377837231029e-05;0.008225480931288949;11.412;0.0783699978714435;0.0001728396184783188;0.011592389445619375;16.051;-0.8455243293714261;8.65258401060085e-05;0.0033669085143304255;4.638999999999998;0.7671543314999826;76.44;10.72
76.24_10.72;5.521044131256581e-05;0.005676419370765824;7.177;0.43942558984540636;0.00017206072418142056;0.01063801576707997;13.605;-0.7470035862006332;0.00011685028286885474;0.004961596396314146;6.428000000000001;0.30757799635522687;76.24;10.72
76.04_10.72;5.773013799968501e-05;0.005335329550915891;6.729;0.4721186618821541;0.0001290148325502688;0.009674680285901589;13.009;-0.1797048266896104;7.128469455058378e-05;0.004339350734985698;6.28;-0.2924138351925437;76.04;10.72
75.84_10.72;4.660209041153325e-05;0.004861174363895548;7.716;0.5189551189353407;0.00010148649994341876;0.008066083004107397;12.89;-0.047583077579463895;5.488440953188551e-05;0.003204908640211849;5.174;-0.47137204135587685;75.84;10.72
75.64_10.72;5.672118334074384e-05;0.005868802767514376;10.566;0.3555454348322835;0.0001105587738825996;0.008428657528716388;14.541;-0.2561463346059354;5.383759054185576e-05;0.0025598547612020114;3.9749999999999996;-0.09939910022634812;75.64;10.72
75.44_10.72;8.238318196739333e-05;0.007836795224267981;15.195;-0.021174056744770242;0.00010820854017090718;0.0087546610712626;16.103;-0.3412901917831934;2.5825358203513852e-05;0.0009178658469946189;0.9080000000000013;0.3201161350384232;75.44;10.72
75.24_10.72;0.00010586968941470665;0.009119838607081399;17.447;-0.2356242471790837;0.00010055562764289996;0.008240028825467574;14.694;-0.17360287342657266;-5.314061771806688e-06;-0.0008798097816138245;-2.7529999999999983;-0.062021373752511044;75.24;10.72
77.24_11.72;0.0001062609961890049;0.007884974274485094;18.456;0.1992678284016387;0.00012214313010373403;0.009153290652368116;17.229;0.0795876443712078;1.5882133914729127e-05;0.001268316377883022;-1.2270000000000003;-0.1196801840304309;77.24;11.72
77.04_11.72;9.04552802646502e-05;0.007622409844740647;16.2;0.22028788315012326;0.0001472236816863729;0.009517421834959638;17.497;-0.2690479556556613;5.676840142172268e-05;0.0018950119902189904;1.2970000000000006;0.048760072505538044;77.04;11.72
76.84_11.72;0.00013357380195479484;0.010355934111448282;21.917;-0.10630767812725517;0.00012458865492424607;0.009127288219086626;18.811;-0.03188936403028508;-8.98514703054877e-06;-0.0012286458923616555;-3.1060000000000016;-0.07441831409697008;76.84;11.72
76.64_11.72;0.00016262702563535773;0.01186090195339248;23.081;-0.5261255262283171;0.0001246823327174242;0.008752465310515642;17.112;-0.17004470743012234;-3.794469291793352e-05;-0.0031084366428768377;-5.969000000000001;-0.35608081879819475;76.64;11.72
76.44_11.72;6.010149378475185e-05;0.0067442037114413215;10.617;0.3607180735456731;7.680442891059213e-05;0.006799627910603734;10.584;0.18305386135602741;1.6702935125840285e-05;5.5424199162412355e-05;-0.03300000000000125;-0.17766421218964568;76.44;11.72
76.24_11.72;6.010149378475185e-05;0.0067442037114413215;10.617;0.3607180735456731;7.750982619561094e-05;0.007394085572218485;11.438;0.17555075774104067;1.7408332410859092e-05;0.0006498818607771637;0.8209999999999997;-0.18516731580463242;76.24;11.72
76.04_11.72;3.4773096840363664e-05;0.004146606881298568;5.945;0.6273390858132177;7.872291373301901e-05;0.007748713414196735;11.578;0.15633188686431487;4.394981689265535e-05;0.0036021065328981673;5.632999999999999;-0.47100719894890286;76.04;11.72
75.84_11.72;3.744901548729797e-05;0.00440207064883357;7.907;0.5771891731621196;8.675175822294517e-05;0.008276473955761116;14.987;0.020546143961397423;4.9302742735647206e-05;0.0038744033069275452;7.08;-0.5566430292007222;75.84;11.72
75.64_11.72;3.744901548729797e-05;0.00440207064883357;7.907;0.5771891731621196;9.140965322368774e-05;0.008158957228453273;14.635;-0.032042913747101665;5.396063773638977e-05;0.003756886579619703;6.728;-0.5451462594150179;75.64;11.72
75.44_11.72;7.88240195720987e-05;0.007930107173062362;15.93;-0.03214787187887236;9.879150885235539e-05;0.008659076406731029;16.691;-0.29360880319474036;1.9967489280256685e-05;0.0007289692336686672;0.7609999999999992;0.261460931315868;75.44;11.72
75.24_11.72;0.0002461619824935284;0.014723192760672386;30.057;-2.266916972798341;0.0001919741190931701;0.011004852581463973;21.03;-1.5477675376618145;-5.418786340035829e-05;-0.0037183401792084125;-9.026999999999997;-0.7191494351365266;75.24;11.72
75.04_11.72;0.00023179507978298057;0.014246896313307117;27.598;-1.890359716255389;0.0001476589130058607;0.009567611741149284;17.352;-0.8412270627046128;-8.413616677711987e-05;-0.004679284572157832;-10.245999999999999;-1.0491326535507761;75.04;11.72
77.44_12.72;0.00012299942673336055;0.00974662311728668;23.166;0.6177635470686159;0.000213177955501749;0.012097592093175952;22.82;0.3375222330849096;9.017852876838845e-05;0.0023509689758892723;-0.3460000000000001;-0.28024131398370633;77.44;12.72
77.24_12.72;9.69650798956729e-05;0.007908482938324624;20.503;0.4709427102954936;0.00016933292440502877;0.010766471513123307;20.061;0.07609194836067534;7.236784450935587e-05;0.002857988574798683;-0.44200000000000017;-0.3948507619348183;77.24;12.72
77.04_12.72;8.695406609512434e-05;0.007031146296127284;16.505;0.3964598045572555;0.0001634766899859603;0.010434790992486028;18.691;-0.13467670754492467;7.652262389083598e-05;0.003403644696358744;2.186;-0.2617830970123308;77.04;12.72
76.84_12.72;8.741631703579947e-05;0.007641475157985625;16.175;0.33074175902234504;0.00010981583138408409;0.007763546350803158;15.055;0.1592513544866857;2.2399514348284613e-05;0.00012207119281753328;-1.120000000000001;-0.17149040453565934;76.84;12.72
76.64_12.72;0.00012464205950688136;0.009737405755642737;20.313;0.015529099621635067;7.022957975993234e-05;0.006639435635163807;13.074;0.44529978168695383;-5.4412479746949015e-05;-0.00309797012047893;-7.238999999999999;0.42977068206531877;76.64;12.72
76.44_12.72;0.00012464205950688136;0.009737405755642737;20.313;0.015529099621635067;0.0001021245853699794;0.008231032908269579;15.977;0.19338076643061097;-2.2517474136901956e-05;-0.0015063728473731584;-4.3359999999999985;0.1778516668089759;76.44;12.72
76.24_12.72;0.00010915546721747976;0.009630643908579834;18.759;-0.11977438408926355;7.47065364009181e-05;0.007609758166499695;14.024;0.2336209269380134;-3.4448930816561666e-05;-0.0020208857420801387;-4.735000000000001;0.11384654284874984;76.24;12.72
76.04_12.72;8.057133044433407e-05;0.008208542850668108;15.541;0.11355905769998575;9.491322337092496e-05;0.00833700380973295;14.953;-0.04422958759235662;1.4341892926590893e-05;0.0001284609590648418;-0.588000000000001;-0.06932947010762913;76.04;12.72
75.84_12.72;0.00014596913933443093;0.011333811898945702;24.23;-0.6178994410369849;0.00013764953213883736;0.010388752760184245;20.383;-0.5256861972460549;-8.319607195593568e-06;-0.000945059138761457;-3.8470000000000013;-0.09221324379092999;75.84;12.72
75.64_12.72;0.00014596913933443093;0.011333811898945702;24.23;-0.6178994410369849;0.0002405343259762255;0.012319600485198357;26.704;-1.6660453937152782;9.456518664179456e-05;0.0009857885862526554;2.474;1.0481459526782932;75.64;12.72
75.44_12.72;0.00014596913933443093;0.011333811898945702;24.23;-0.6178994410369849;0.00010092226894440172;0.007437085249856623;16.124;-0.11860687305441386;-4.5046870390029204e-05;-0.003896726649089079;-8.106000000000002;-0.49929256798257104;75.44;12.72
75.24_12.72;0.0002353408573429373;0.014464503446182825;33.305;-1.8813987352208765;8.110636584385798e-05;0.007546831027946297;16.547;0.006973193692805468;-0.0001542344914990793;-0.0069176724182365285;-16.758;-1.874425541528071;75.24;12.72
75.04_12.72;0.0002294051150614292;0.014279847625698344;30.992;-1.9426832227877244;0.0001054494729811767;0.008614598957778155;17.666;-0.352648108610935;-0.0001239556420802525;-0.005665248667920189;-13.326;-1.5900351141767894;75.04;12.72
74.84_12.72;7.520575277908986e-05;0.0077569840918368885;13.862;0.2866850851503777;0.00028055282672282935;0.013911430791562634;23.057;-1.6610001005170143;0.0002053470739437395;0.006154446699725745;9.194999999999999;1.3743150153666366;74.84;12.72
76.84_13.72;8.624984310920178e-05;0.008144356274959522;15.811;0.5933890495428832;0.00019240229983482558;0.011832733327828266;20.121;0.09295044273967934;0.0001061524567256238;0.0036883770528687437;4.309999999999999;-0.5004386068032038;76.84;13.72
76.64_13.72;4.559269399586852e-05;0.005429328024915763;10.456;0.6058946704792696;0.0001610810380690524;0.010351823409106974;18.269;-0.39239185106056396;0.00011548834407318389;0.004922495384191211;7.812999999999999;-0.21350281941870564;76.64;13.72
76.44_13.72;4.559269399586852e-05;0.005429328024915763;10.456;0.6058946704792696;0.000132917701531836;0.009383055402422302;16.149;-0.14894668356489693;8.732500753596748e-05;0.003953727377506539;5.693000000000001;-0.45694798691437266;76.44;13.72
76.24_13.72;7.524580317863516e-05;0.007682575878130871;15.181;0.21339310100047304;0.0003092825625851261;0.014119258791516065;27.837;-2.23318759575404;0.00023403675940649092;0.006436682913385195;12.656;2.019794494753567;76.24;13.72
76.04_13.72;7.524580317863516e-05;0.007682575878130871;15.181;0.21339310100047304;0.00033302824858890003;0.014787107858468308;28.887;-2.4814209807802046;0.0002577824454102649;0.007104531980337437;13.706000000000001;2.2680278797797317;76.04;13.72
