POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGEMSE_HYB;MAE_HYB;MAPE_HYB;MAPE_RIDGE;MSE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.002595051131016264;0.047816951344711506;;0.013033425136932165;21.799;85.749;0.00029317073004385337;-0.0023018804009724107;-0.034783526207779344;-63.949999999999996;76.04;8.72
75.84_8.72;0.0025090140647918025;0.04711930908909623;;0.012702977927916604;23.659;97.406;0.0002950100845554194;-0.002214003980236383;-0.03441633116117963;-73.74700000000001;75.84;8.72
75.64_8.72;0.002133047981822654;0.0435597277851245;;0.010754619943440766;24.939;104.672;0.00019965310189217362;-0.0019333948799304802;-0.03280510784168374;-79.733;75.64;8.72
75.44_8.72;0.0032621750863290272;0.05525180646221848;;0.021840463573470734;44.704;122.489;0.0006227751700186089;-0.0026393999163104183;-0.033411342888747746;-77.785;75.44;8.72
76.44_9.72;0.00282739456275798;0.051499536793723356;;0.011210245273297507;15.521;70.131;0.00017707757567557845;-0.0026503169870824017;-0.040289291520425846;-54.61;76.44;9.72
76.24_9.72;0.002821378169691518;0.051193654761238556;;0.012203387472970666;16.054;67.815;0.00022277964444781422;-0.0025985985252437037;-0.03899026728826789;-51.760999999999996;76.24;9.72
76.04_9.72;0.0014863409833335247;0.035726199878828836;;0.03545250605072219;52.091;53.139;0.0015270978659804768;4.075688264695214e-05;-0.0002736938281066442;-1.0480000000000018;76.04;9.72
75.84_9.72;0.0011766932776374015;0.03084607817270849;;0.05296575175932682;88.696;51.364;0.0034965171965510512;0.0023198239189136495;0.022119673586618333;37.332;75.84;9.72
75.64_9.72;0.001417116224132882;0.03418066579602664;;0.06412740064672626;120.02;63.96;0.004937834700961553;0.003520718476828671;0.029946734850699618;56.059999999999995;75.64;9.72
75.44_9.72;0.0026759649041809704;0.04907178334337662;;0.05851071767410656;108.071;91.626;0.003986715848826071;0.0013107509446451007;0.00943893433072994;16.444999999999993;75.44;9.72
76.84_10.72;0.0006035725889558397;0.02294173946545278;;0.014131408171068052;28.517;43.128;0.0002638924408133069;-0.00033968014814253283;-0.008810331294384728;-14.611;76.84;10.72
76.64_10.72;0.0006894964866980212;0.024786202259016153;;0.01421355282016342;28.324;46.58;0.00026558553561564297;-0.00042391095108237827;-0.010572649438852732;-18.255999999999997;76.64;10.72
76.44_10.72;0.001918628443124009;0.042149859750327506;;0.007660669875567053;10.081;58.586;0.00010808048207077918;-0.0018105479610532299;-0.034489189874760455;-48.504999999999995;76.44;10.72
76.24_10.72;0.001667285691905928;0.039019367278439646;;0.009156430689638617;11.03;50.157;0.0001589936267709331;-0.0015082920651349949;-0.02986293658880103;-39.126999999999995;76.24;10.72
76.04_10.72;0.000525577395277866;0.020914762965322676;;0.010225264527116454;13.868;27.978;0.00017137731569318788;-0.0003542000795846782;-0.010689498438206222;-14.110000000000001;76.04;10.72
75.84_10.72;0.0003876292768234163;0.016912881422699547;;0.025447787663781047;39.824;25.895;0.0008427119241615036;0.0004550826473380873;0.0085349062410815;13.928999999999998;75.84;10.72
