POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGEMSE_HYB;MAE_HYB;MAPE_HYB;MAPE_RIDGE;MSE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
75.64_10.72;0.0005718403060981232;0.020861369684270808;;0.04710670925220221;81.138;35.035;0.0025743060576600405;0.0020024657515619174;0.0262453395679314;46.10300000000001;75.64;10.72
75.44_10.72;0.0009407414373103514;0.027739352163969746;;0.02510167634275861;44.66;49.657;0.0007854681504714484;-0.00015527328683890293;-0.0026376758212111363;-4.997;75.44;10.72
75.24_10.72;0.0010885635394329825;0.03007712572193827;;0.030195940874178668;52.255;52.035;0.001103453761548149;1.489022211516658e-05;0.00011881515224039865;0.22000000000000597;75.24;10.72
77.24_11.72;0.0018980645920122989;0.04277244971074096;;0.011414262657469585;22.221;84.473;0.00016467214236515386;-0.001733392449647145;-0.031358187053271376;-62.251999999999995;77.24;11.72
77.04_11.72;0.0015942178612540795;0.03919277602688415;;0.015672721820547023;28.1;75.197;0.00045394196686289354;-0.001140275894391186;-0.02352005420633713;-47.097;77.04;11.72
76.84_11.72;0.0007234208748982272;0.02573409638800862;;0.006338315734036448;13.31;53.113;6.228125868769977e-05;-0.0006611396162105274;-0.019395780653972173;-39.803;76.84;11.72
76.64_11.72;0.0008892041695944075;0.0285602085061086;;0.005157743003186792;9.049;55.391;6.0748232698040214e-05;-0.0008284559368963673;-0.023402465502921806;-46.342;76.64;11.72
76.44_11.72;0.00045154503235169313;0.019723485531720063;;0.017151612000616753;26.364;30.073;0.0003993108740663498;-5.2234158285343344e-05;-0.0025718735311033095;-3.7089999999999996;76.44;11.72
76.24_11.72;0.0005656123130113784;0.022441314588371588;;0.007352524042267863;10.825;34.31;9.233564662323917e-05;-0.00047327666638813924;-0.015088790546103726;-23.485000000000003;76.24;11.72
76.04_11.72;0.00043079511595124794;0.018895044135600336;;0.026942782609397222;40.046;28.083;0.0009499561900548354;0.0005191610741035875;0.008047738473796886;11.963000000000001;76.04;11.72
75.84_11.72;0.0005155465394575371;0.021203340098908122;;0.024739765678724282;44.063;38.255;0.0007405972161535246;0.00022505067669598752;0.0035364255798161597;5.808;75.84;11.72
75.64_11.72;0.00045064079658898323;0.019725701389663296;;0.027960539954973097;50.087;35.084;0.0009586805314126806;0.0005080397348236974;0.0082348385653098;15.003;75.64;11.72
75.44_11.72;0.0004636687130385986;0.01941113027571565;;0.013386684960355798;24.867;36.631;0.00024928054368759413;-0.00021438816935100445;-0.006024445315359853;-11.764;75.44;11.72
75.24_11.72;0.00016284088819079414;0.010025839853190745;;0.032728744090652406;62.495;18.72;0.0013955422138368086;0.0012327013256460144;0.02270290423746166;43.775;75.24;11.72
75.04_11.72;0.00012370815618314038;0.009568709690479477;;0.023540110753412356;42.447;17.224;0.0007465669470074139;0.0006228587908242736;0.013971401062932879;25.223000000000003;75.04;11.72
77.44_12.72;0.0005973296619736092;0.01953688039289788;;0.011059746073867283;22.115;33.53;0.00021069083913889512;-0.0003866388228347141;-0.008477134319030598;-11.415000000000003;77.44;12.72
77.24_12.72;0.0013160300197457464;0.034707313729314675;;0.008837319140052499;19.887;71.807;0.0001186289776965544;-0.001197401042049192;-0.025869994589262174;-51.92;77.24;12.72
77.04_12.72;0.0018083982344413024;0.04159923156651872;;0.008822908401500745;18.976;82.293;0.00010718361005813637;-0.001701214624383166;-0.032776323165017975;-63.31700000000001;77.04;12.72
76.84_12.72;0.0017268411077726177;0.04078690204003721;;0.007046557721819986;14.924;80.682;7.791400433636155e-05;-0.0016489271034362562;-0.03374034431821722;-65.75800000000001;76.84;12.72
76.64_12.72;0.0013212678528166798;0.03535849393067519;;0.00740608614011006;14.7;70.731;9.989761555874717e-05;-0.0012213702372579325;-0.027952407790565126;-56.03099999999999;76.64;12.72
76.44_12.72;0.0012753067595377397;0.03478492975647296;;0.007944646372648214;17.643;69.465;9.083141292234941e-05;-0.0011844753466153902;-0.026840283383824746;-51.822;76.44;12.72
76.24_12.72;0.0005824150730156021;0.022745943862707816;;0.008568129060333282;16.901;43.197;9.401627568687952e-05;-0.0004883987973287226;-0.014177814802374534;-26.296000000000003;76.24;12.72
76.04_12.72;0.0005612127275553407;0.022499786042217775;;0.03645337685509461;67.464;41.404;0.001666410959156857;0.0011051982316015161;0.013953590812876834;26.059999999999995;76.04;12.72
75.84_12.72;0.0015882522707393917;0.03912882614597278;;0.005088415788658572;9.654;83.691;4.9386030687251e-05;-0.0015388662400521408;-0.034040410357314206;-74.037;75.84;12.72
75.64_12.72;0.001413951241352793;0.03676877663216329;;0.006721152365208889;13.981;78.785;7.561391508025496e-05;-0.001338337326272538;-0.0300476242669544;-64.804;75.64;12.72
75.44_12.72;0.001538485718548358;0.03855996295739517;;0.0058199753745739515;11.207;82.22;5.9996129174832505e-05;-0.0014784895893735254;-0.03273998758282122;-71.013;75.44;12.72
75.24_12.72;0.0009796555461014653;0.030393179160122203;;0.019991246223119145;46.166;68.609;0.0005329702001101823;-0.000446685345991283;-0.010401932937003058;-22.442999999999998;75.24;12.72
75.04_12.72;0.0008199397804482659;0.027415804809132208;;0.03720879829063228;77.983;57.401;0.0016162698090197878;0.0007963300285715219;0.009792993481500076;20.582;75.04;12.72
74.84_12.72;0.0010587570277611365;0.030944526876272006;;0.03531479967026745;57.812;50.338;0.0013734083504933624;0.0003146513227322259;0.00437027279399544;7.473999999999997;74.84;12.72
76.84_13.72;0.0010700310758671298;0.030823201610647073;;0.009916018332549317;21.649;57.198;0.00014230033793102088;-0.0009277307379361089;-0.020907183278097756;-35.549;76.84;13.72
76.64_13.72;0.002275596426873024;0.047110762879509195;;0.008244336254189044;17.03;86.939;0.00010244635301279104;-0.002173150073860233;-0.03886642662532015;-69.90899999999999;76.64;13.72
76.44_13.72;0.002184428433805287;0.04609378736295242;;0.011176626051538251;21.516;85.113;0.0001772531193899109;-0.002007175314415376;-0.034917161311414174;-63.597;76.44;13.72
76.24_13.72;0.001646813026383709;0.04006996931631053;;0.012883813778365581;27.013;78.345;0.00021519662718787658;-0.0014316163991958323;-0.02718615553794495;-51.331999999999994;76.24;13.72
76.04_13.72;0.0018283629454552068;0.04215329116705307;;0.006792101882539288;13.985;82.733;6.693920209161858e-05;-0.0017614237433635882;-0.03536118928451378;-68.748;76.04;13.72
75.84_13.72;0.0017317535399896942;0.04104368501926967;;0.01756470615047101;35.828;81.282;0.0005862624416465234;-0.0011454910983431706;-0.023478978868798663;-45.45399999999999;75.84;13.72
75.64_13.72;0.0017361365641867066;0.04121097563391681;;0.01280728406687854;27.959;91.337;0.0002696064336290439;-0.0014665301305576627;-0.028403691567038272;-63.378;75.64;13.72
75.44_13.72;0.0015394873722759206;0.03875087186798284;;0.005410301323115313;12.501;85.877;4.493083104092547e-05;-0.0014945565412349952;-0.033340570544867526;-73.37599999999999;75.44;13.72
75.24_13.72;0.001058091906617486;0.031880203952969415;;0.005302705357588437;12.911;79.771;4.53929469691284e-05;-0.0010126989596483578;-0.02657749859538098;-66.86;75.24;13.72
75.04_13.72;0.0009758310399596677;0.030357966661599664;;0.007532217621062285;19.585;74.158;9.046633033677335e-05;-0.0008853647096228943;-0.02282574904053738;-54.573;75.04;13.72
74.84_13.72;0.0009468313239678821;0.029757008182368684;;0.03219771869022804;72.757;67.595;0.0013730413304621455;0.00042621000649426335;0.0024407105078593574;5.162000000000006;74.84;13.72
76.64_14.72;0.0002695347050289244;0.014390003359672747;;0.010911016679651905;25.996;34.134;0.0001778069042440238;-9.172780078490057e-05;-0.0034789866800208416;-8.138000000000002;76.64;14.72
76.44_14.72;0.0019704754646959915;0.04354398063299885;;0.008357964736733161;18.366;81.576;0.00010959468567669417;-0.0018608807790192973;-0.03518601589626569;-63.209999999999994;76.44;14.72
76.24_14.72;0.002567632663674492;0.050199099295185776;;0.008698608095520088;19.728;96.114;0.00013046033177124166;-0.00243717233190325;-0.04150049119966569;-76.386;76.24;14.72
76.04_14.72;0.002393745981514597;0.04822403631281126;;0.009367680572900878;24.286;99.722;0.0001664757557769527;-0.0022272702257376442;-0.038856355739910385;-75.43599999999999;76.04;14.72
75.84_14.72;0.0018255677040465207;0.04224818006499711;;0.011469295674236843;28.172;86.429;0.00021839983303662368;-0.001607167871009897;-0.030778884390760264;-58.257000000000005;75.84;14.72
75.64_14.72;0.0011214279991893698;0.03281004511099242;;0.008780859990044222;21.46;70.224;0.00011190267663188141;-0.0010095253225574884;-0.024029185120948197;-48.764;75.64;14.72
75.44_14.72;0.0010651076059481478;0.03210498062704358;;0.011666233894707763;28.289;70.689;0.00020342055075498022;-0.0008616870551931676;-0.020438746732335818;-42.39999999999999;75.44;14.72
75.24_14.72;0.000594333235505031;0.023651351252784166;;0.007991921362113425;22.635;58.999;0.00010025705844973446;-0.0004940761770552965;-0.01565942989067074;-36.364000000000004;75.24;14.72
75.04_14.72;0.0005715896043097042;0.023007236726113874;;0.027725878871894736;72.045;58.17;0.0010389073666261634;0.00046731776231645917;0.004718642145780862;13.875;75.04;14.72
74.84_14.72;0.00040727718388937345;0.01910104607613481;;0.005998606268184926;17.409;55.598;5.112700436670135e-05;-0.0003561501795226721;-0.013102439807949885;-38.189;74.84;14.72
74.64_14.72;0.00045122729688208744;0.020286027770912977;;0.007051634853891311;19.747;58.794;7.296311202355916e-05;-0.0003782641848585283;-0.013234392917021666;-39.047;74.64;14.72
76.24_15.72;0.0011095111335450325;0.0314441181149572;;0.00976742277171811;22.04;56.379;0.00014088496220010245;-0.0009686261713449301;-0.021676695343239086;-34.339;76.24;15.72
76.04_15.72;0.0015462667159797535;0.038730590354415756;;0.011437139304157243;23.157;77.295;0.0001755105025112569;-0.0013707562134684967;-0.027293451050258512;-54.138000000000005;76.04;15.72
75.84_15.72;0.0015719725816173181;0.03919436072635903;;0.008488345075645142;17.519;78.196;9.706435898814492e-05;-0.0014749082226291732;-0.03070601565071389;-60.677;75.84;15.72
75.64_15.72;0.0007500704300352356;0.02639156723359621;;0.012693847951739017;30.01;56.684;0.00018974270542684323;-0.0005603277246083924;-0.013697719281857193;-26.673999999999996;75.64;15.72
75.44_15.72;0.0005553979638906072;0.022402805870691083;;0.010886513907207391;27.459;49.713;0.00014265609665720187;-0.0004127418672334053;-0.011516291963483692;-22.254;75.44;15.72
75.24_15.72;0.0002506330607348897;0.01403275091007511;;0.01615671513968941;47.715;30.696;0.0003323125693215087;8.167950858661897e-05;0.0021239642296143006;17.019000000000002;75.24;15.72
75.04_15.72;0.0003802237070109299;0.018556370835992264;;0.0062262465965879895;16.005;50.585;6.009619709624599e-05;-0.0003201275099146839;-0.012330124239404276;-34.58;75.04;15.72
74.84_15.72;0.00021697137295385285;0.013721654132303716;;0.0099524632207775;31.717;37.456;0.00012522333049000327;-9.174804246384958e-05;-0.003769190911526216;-5.739000000000004;74.84;15.72
74.64_15.72;0.000350119743075635;0.01788488181163282;;0.005156064585495163;13.863;50.684;5.3990784566238674e-05;-0.00029612895850939636;-0.012728817226137655;-36.821;74.64;15.72
74.44_15.72;0.00028392365285689615;0.016128857465398067;;0.008228468728807952;23.667;45.039;9.739398149938203e-05;-0.00018652967135751413;-0.007900388736590115;-21.372;74.44;15.72
76.24_16.72;0.0007907013212574025;0.0227056547768248;;0.011124061930321217;20.642;35.452;0.00018396734753260382;-0.0006067339737247986;-0.011581592846503584;-14.809999999999999;76.24;16.72
76.04_16.72;0.0009588686982408985;0.02781821646168697;;0.010395149943626161;25.069;48.978;0.00015449430406805318;-0.0008043743941728452;-0.01742306651806081;-23.909000000000002;76.04;16.72
75.84_16.72;0.0011283494912982187;0.03241735910303589;;0.014435844641771695;36.714;63.063;0.0002778368705312181;-0.0008505126207670006;-0.017981514461264198;-26.349000000000004;75.84;16.72
75.64_16.72;0.0005506745800657882;0.019909536102818856;;0.014770769182193251;38.911;34.024;0.0003083102276297919;-0.00024236435243599625;-0.005138766920625605;4.8870000000000005;75.64;16.72
75.44_16.72;0.0005646282292267407;0.019599364738397605;;0.014763871838413233;40.181;31.042;0.0003270177035222695;-0.00023761052570447124;-0.004835492899984372;9.138999999999996;75.44;16.72
75.24_16.72;0.0005725609598213757;0.01960048094512463;;0.014279512461661469;44.52;33.783;0.0003182975725661267;-0.00025426338725524893;-0.0053209684834631624;10.737000000000002;75.24;16.72
75.04_16.72;0.0006151792896608917;0.0207315234628997;;0.014590768841067721;45.27;37.82;0.0003306465087309617;-0.00028453278092993004;-0.006140754621831978;7.450000000000003;75.04;16.72
74.84_16.72;0.00032571093649087557;0.014332543314368713;;0.019851900620642227;78.76;28.273;0.0005515551068538061;0.00022584417036293052;0.005519357306273514;50.48700000000001;74.84;16.72
74.64_16.72;0.00027214747195038614;0.012872820547996131;;0.010842372608707275;43.068;23.823;0.00017116909084729595;-0.00010097838110309019;-0.0020304479392888562;19.244999999999997;74.64;16.72
74.44_16.72;0.00038124769534383685;0.01542538267541657;;0.017394763048584314;1743.873;92.83;0.0005003226826509649;0.00011907498730712808;0.0019693803731677447;1651.0430000000001;74.44;16.72
74.24_16.72;0.0004765782184116384;0.01746307524643306;;0.01338430987338108;998.954;157.066;0.0002636853799631044;-0.00021289283844853403;-0.00407876537305198;841.8879999999999;74.24;16.72
76.24_17.72;0.0012628750161221179;0.03174205803884313;;0.010372963815546895;28.367;64.625;0.00013762492214661578;-0.001125250093975502;-0.021369094223296234;-36.257999999999996;76.24;17.72
76.04_17.72;0.001005398049279458;0.028615318217588205;;0.010145275815268745;27.809;58.102;0.0001389320838390276;-0.0008664659654404304;-0.01847004240231946;-30.292999999999996;76.04;17.72
75.84_17.72;0.0006714315666291464;0.02137270346413799;;0.012737573307585093;37.088;35.029;0.0002485930330503087;-0.00042283853357883767;-0.008635130156552895;2.0589999999999975;75.84;17.72
75.64_17.72;0.0006410951292320598;0.020750969233205255;;0.014145616462179256;40.772;32.494;0.00030455043162985903;-0.00033654469760220076;-0.006605352771025998;8.277999999999999;75.64;17.72
75.44_17.72;0.0004997272609806875;0.018008906148046823;;0.015874546936835328;49.475;29.535;0.0004134170440849549;-8.631021689573264e-05;-0.002134359211211495;19.94;75.44;17.72
75.24_17.72;0.0006059300690837764;0.020116532505227557;;0.015486893680901838;48.388;32.145;0.00039785393064875206;-0.00020807613843502437;-0.004629638824325719;16.242999999999995;75.24;17.72
75.04_17.72;0.0005147592224989673;0.01848538483302748;;0.016305932053942616;52.358;30.502;0.0004523079036223418;-6.24513188766255e-05;-0.0021794527790848645;21.855999999999998;75.04;17.72
74.84_17.72;0.0005339530890042945;0.018948101090079342;;0.016387876309818337;52.841;31.398;0.0004568953009539469;-7.705778805034758e-05;-0.002560224780261005;21.443;74.84;17.72
74.64_17.72;0.0005934778389849291;0.01938104161959566;;0.017070966488664397;78.634;36.951;0.00046857366243959587;-0.0001249041765453332;-0.002310075130931264;41.683;74.64;17.72
74.44_17.72;0.0007137442449995634;0.022265016901299377;;0.01943941725341018;134.922;70.381;0.0006338525498327586;-7.989169516680477e-05;-0.0028255996478891987;64.541;74.44;17.72
74.24_17.72;0.0005358299006283196;0.02045573769459161;;0.01941439626037443;131.885;78.979;0.0006361172307634458;0.00010028733013512628;-0.0010413414342171808;52.90599999999999;74.24;17.72
74.04_17.72;0.0008677970697587704;0.023997251599104243;;0.018855393550786095;3534.754;645.879;0.0005731271072873013;-0.00029466996247146907;-0.005141858048318147;2888.875;74.04;17.72
77.24_18.72;0.00029595579636111045;0.014950746739874784;;0.013062747881686432;23.564;31.938;0.0002786672358375443;-1.7288560523566162e-05;-0.001887998858188352;-8.373999999999999;77.24;18.72
77.04_18.72;0.00028460211833136224;0.014669492355667411;;0.014921225897847097;24.925;30.565;0.0003445869245220537;5.9984806190691476e-05;0.00025173354217968534;-5.640000000000001;77.04;18.72
76.84_18.72;0.0012322768699228692;0.029031183123171597;;0.018645420011587047;29.749;45.114;0.000551512671800388;-0.0006807641981224812;-0.01038576311158455;-15.364999999999998;76.84;18.72
76.64_18.72;0.002059162362172689;0.040398805295527675;;0.01912472737445212;31.282;71.094;0.0005758022036586347;-0.0014833601585140545;-0.021274077921075555;-39.812;76.64;18.72
76.44_18.72;0.0020724869510059044;0.04077038101678612;;0.014638304678379925;28.09;85.17;0.00034042791183309717;-0.0017320590391728071;-0.026132076338406196;-57.08;76.44;18.72
76.24_18.72;0.0021179798863015984;0.041152733380996454;;0.016700961488862902;31.512;84.997;0.00046676329444960134;-0.0016512165918519972;-0.02445177189213355;-53.485;76.24;18.72
76.04_18.72;0.0006681031543190932;0.020075481542781052;;0.013375781145804904;45.998;36.556;0.00023593522706708315;-0.00043216792725201;-0.0066997003969761475;9.442;76.04;18.72
75.84_18.72;0.000509282876905476;0.018731503238486054;;0.015168606517652746;66.173;50.636;0.00035988696882816;-0.00014939590807731595;-0.0035628967208333074;15.536999999999999;75.84;18.72
75.64_18.72;0.0004790945602474031;0.01893372848912879;;0.015305013269610646;65.237;64.28;0.00035867740523952413;-0.00012041715500787898;-0.0036287152195181444;0.9569999999999936;75.64;18.72
75.44_18.72;0.0004880831989803976;0.018940759251610848;;0.01597622053787762;55.493;46.622;0.0004166310214134696;-7.145217756692796e-05;-0.002964538713733228;8.871000000000002;75.44;18.72
75.24_18.72;0.0005143988952930051;0.019170732103387468;;0.016804799623019083;60.775;45.314;0.00046114359087665025;-5.325530441635485e-05;-0.002365932480368385;15.460999999999999;75.24;18.72
75.04_18.72;0.000623772973452199;0.021278339136564028;;0.019632808600239512;98.145;60.405;0.0006411514726821368;1.737849922993774e-05;-0.0016455305363245153;37.739999999999995;75.04;18.72
74.84_18.72;0.0005165534314877095;0.019443596121131276;;0.018545481216251547;78.015;47.164;0.0005787857648989039;6.223233341119444e-05;-0.0008981149048797286;30.851;74.84;18.72
74.04_18.72;0.000529497151764191;0.01941653603349107;;0.02071676477932682;112.054;57.638;0.0007227662627261735;0.00019326911096198248;0.0013002287458357513;54.416000000000004;74.04;18.72
77.24_19.72;0.00030092149941911517;0.01401400605641917;;0.013301152072694113;23.842;30.252;0.0002531797313415557;-4.774176807755947e-05;-0.0007128539837250574;-6.41;77.24;19.72
77.04_19.72;0.0006565695701971615;0.02020414283976863;;0.015504378563237347;25.574;28.514;0.00035631272578995934;-0.00030025684440720214;-0.004699764276531284;-2.9399999999999977;77.04;19.72
76.84_19.72;0.0005785146429910943;0.01909509797317285;;0.015038250507196696;25.224;27.866;0.0003350187625694516;-0.0002434958804216427;-0.004056847465976154;-2.6419999999999995;76.84;19.72
76.64_19.72;0.0014992136352283585;0.03233179377859114;;0.017385696555986322;30.851;54.464;0.00045636989979250784;-0.0010428437354358506;-0.014946097222604818;-23.613;76.64;19.72
76.44_19.72;0.0006261565944499072;0.01959161001098232;;0.013570841073009984;44.598;37.938;0.00023635576188432434;-0.0003898008325655828;-0.006020768937972338;6.659999999999997;76.44;19.72
76.24_19.72;0.0005929807689990183;0.019087398965541617;;0.013880638085518565;41.179;37.365;0.00025440941030878373;-0.0003385713586902346;-0.005206760880023052;3.814;76.24;19.72
76.04_19.72;0.0005636100750589755;0.01899466320583105;;0.013654798384708363;54.878;38.735;0.00027654914704745143;-0.0002870609280115241;-0.005339864821122685;16.143;76.04;19.72
75.84_19.72;0.0004935352275227675;0.01862239651974238;;0.014109936460374227;73.573;59.89;0.000305560260327403;-0.00018797496719536447;-0.004512460059368154;13.682999999999993;75.84;19.72
75.64_19.72;0.0005607932870084984;0.02034297868720254;;0.016661887280235436;99.258;88.085;0.00045440170634886726;-0.00010639158065963117;-0.0036810914069671033;11.173000000000002;75.64;19.72
75.44_19.72;0.0005978563543068943;0.02128717159703053;;0.01730627678501142;75.207;63.566;0.0004960467269513589;-0.00010180962735553537;-0.00398089481201911;11.640999999999991;75.44;19.72
75.24_19.72;0.0005606453064872934;0.02011431780383594;;0.017987638017506465;79.494;76.359;0.0005326197032487454;-2.802560323854797e-05;-0.002126679786329473;3.135000000000005;75.24;19.72
75.04_19.72;0.0005351465966815041;0.01985987360374059;;0.019681657791915424;149.442;105.786;0.0006279394670726092;9.279287039110507e-05;-0.00017821581182516505;43.656000000000006;75.04;19.72
74.84_19.72;0.0005147028874394494;0.018834109612246595;;0.019433035863062612;124.069;92.856;0.0006332971191958251;0.00011859423175637567;0.0005989262508160169;31.213000000000008;74.84;19.72
74.64_19.72;0.0004956056091835855;0.018683475335810384;;0.020161344663947863;86.833;62.236;0.0006597765270052597;0.00016417091782167418;0.0014778693281374787;24.597;74.64;19.72
74.24_19.72;0.0005041818591361406;0.018805896001820647;;0.019970384452407324;85.504;56.286;0.0006198499378713737;0.00011566807873523305;0.0011644884505866773;29.218000000000004;74.24;19.72
74.04_19.72;0.0007399106129063535;0.021736034903515757;;0.020809459646595543;161.039;56.342;0.0006735522947857676;-6.635831812058584e-05;-0.0009265752569202132;104.69699999999999;74.04;19.72
73.84_19.72;0.0007928782903527028;0.022507907019291982;;0.021050269287272418;164.361;55.476;0.0007126378619425986;-8.024042841010424e-05;-0.0014576377320195642;108.88499999999999;73.84;19.72
76.84_20.72;0.0003052306419556938;0.015889217572707885;;0.01249220764244787;21.167;28.577;0.00022213025804668834;-8.310038390900548e-05;-0.003397009930260016;-7.41;76.84;20.72
76.64_20.72;0.000451882145716468;0.018442866454922154;;0.012692919353869824;29.545;36.663;0.00021935219702555984;-0.00023252994869090815;-0.00574994710105233;-7.117999999999995;76.64;20.72
76.44_20.72;0.0005341183806409697;0.019220032231098912;;0.01331301587879566;35.767;38.526;0.0002393510622566951;-0.0002947673183842746;-0.005907016352303252;-2.7590000000000003;76.44;20.72
76.24_20.72;0.00041225849641213203;0.016183662846675582;;0.013707958232366844;52.809;34.451;0.00024923408385455224;-0.0001630244125575798;-0.002475704614308738;18.357999999999997;76.24;20.72
76.04_20.72;0.00046826735883085524;0.01826191564353509;;0.015253906023653807;80.652;65.349;0.0003673242680687139;-0.00010094309076214133;-0.0030080096198812824;15.302999999999997;76.04;20.72
75.84_20.72;0.0006943372762161714;0.02163932536521952;;0.013362973491674212;70.465;52.903;0.00028176267206742945;-0.00041257460414874196;-0.008276351873545307;17.562000000000005;75.84;20.72
75.64_20.72;0.00058368416260348;0.020746928087895907;;0.01596007951644455;99.989;103.047;0.0004403380619783711;-0.00014334610062510886;-0.004786848571451358;-3.0579999999999927;75.64;20.72
75.44_20.72;0.0005510220621013879;0.01952022045767745;;0.017060479599649257;105.737;98.742;0.0005008367522766809;-5.018530982470702e-05;-0.002459740858028192;6.99499999999999;75.44;20.72
75.24_20.72;0.0005345373217302241;0.019156698815929938;;0.01910146158952396;167.355;143.616;0.0005690747840969746;3.453746236675042e-05;-5.523722640597695e-05;23.738999999999976;75.24;20.72
75.04_20.72;0.0005794467759347962;0.01962931709091126;;0.020368753332051126;93.889;95.405;0.0005856508553399503;6.204079405154107e-06;0.0007394362411398646;-1.5160000000000053;75.04;20.72
74.84_20.72;0.0005356103459280903;0.019589754884583716;;0.020153691536254147;91.729;85.029;0.0005882980514647782;5.268770553668793e-05;0.0005639366516704304;6.700000000000003;74.84;20.72
74.64_20.72;0.0005014004999496648;0.018526848629950052;;0.018384191099633542;96.928;69.715;0.0005433974435792091;4.199694362954428e-05;-0.00014265753031651035;27.212999999999994;74.64;20.72
74.44_20.72;0.0004774681986055623;0.018157515391510778;;0.017974632375507546;372.462;236.397;0.0005466426571248876;6.917445851932524e-05;-0.00018288301600323173;136.065;74.44;20.72
74.24_20.72;0.0005008965969127765;0.018603739855833166;;0.018818563743561424;80.073;45.075;0.0005587180978590714;5.782150094629486e-05;0.00021482388772825836;34.99799999999999;74.24;20.72
74.04_20.72;0.0011803323541978365;0.028876539659673857;;0.022310901690142108;192.645;62.264;0.0007865830248804835;-0.000393749329317353;-0.006565637969531749;130.381;74.04;20.72
73.84_20.72;0.0011200790701061962;0.0281215202441639;;0.020127744192520027;396.331;116.774;0.0006262783659157253;-0.0004938007041904709;-0.007993776051643874;279.557;73.84;20.72
73.64_20.72;0.0013760808135446932;0.03240739859000254;;0.02468410863118301;288.228;100.187;0.0008773921813752942;-0.000498688632169399;-0.0077232899588195285;188.041;73.64;20.72
76.64_21.72;0.0008879556915090445;0.026035520824754486;;0.011293325918018975;18.691;54.998;0.00022021288421409247;-0.0006677428072949521;-0.014742194906735511;-36.307;76.64;21.72
76.44_21.72;0.0006034074712183541;0.020039799160199837;;0.013339771884017911;44.441;72.159;0.00024358118594901382;-0.00035982628526934026;-0.006700027276181925;-27.718000000000004;76.44;21.72
76.24_21.72;0.0003545227529385489;0.015972314957271368;;0.014297225008078366;51.725;41.349;0.000285276079134798;-6.924667380375088e-05;-0.0016750899491930014;10.376000000000005;76.24;21.72
