POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.00013739652822985298;0.009586740594177665;23.563;0.33243746618736636;0.00010553690821411348;0.008543071167006972;17.813;0.48723241579799037;-3.1859620015739495e-05;-0.0010436694271706935;-5.75;0.154794949610624;76.04;8.72
75.84_8.72;0.00018694921799693512;0.011569509184326966;35.518;0.048895329829643175;0.00010778175274359534;0.009088599907369347;23.635;0.4516600310397618;-7.916746525333978e-05;-0.002480909276957618;-11.883;0.40276470121011865;75.84;8.72
75.64_8.72;0.0001744372261189491;0.010903723364832835;47.356;-0.03893331726626803;9.701105316539813e-05;0.008349533181264902;29.763;0.42221039901257196;-7.742617295355098e-05;-0.002554190183567933;-17.593;0.3832770817463039;75.64;8.72
75.44_8.72;0.000207643755512146;0.011715080173694346;41.961;-0.2858719982511939;0.00020160952856343225;0.011145410036125375;28.416;-0.2485039423455111;-6.034226948713759e-06;-0.0005696701375689714;-13.544999999999998;-0.03736805590568282;75.44;8.72
76.44_9.72;0.00015059879051537505;0.01002604594290248;15.061;0.17905652015860518;0.0001807904427348115;0.010992417040626009;16.694;0.014475915292094799;3.019165221943644e-05;0.0009663710977235278;1.6329999999999991;-0.16458060486651038;76.44;9.72
76.24_9.72;0.0001690159808313305;0.01070392282298755;15.148;0.06287622997388831;0.0002444963905984153;0.011533313841865461;15.952;-0.35563145087456194;7.54804097670848e-05;0.0008293910188779102;0.8040000000000003;0.29275522090067363;76.24;9.72
76.04_9.72;0.00011171454125462144;0.007997360495094094;14.296;0.48022079188415245;0.00010552012510598165;0.008163866807439524;13.579;0.5090418270360719;-6.194416148639788e-06;0.00016650631234542933;-0.7169999999999987;0.028821035151919472;76.04;9.72
75.84_9.72;0.00014430573662990254;0.009809685246274171;22.719;0.2890256550179633;0.00010580171269722704;0.008673467929865881;18.227;0.4787296393087306;-3.85040239326755e-05;-0.0011362173164082903;-4.492000000000001;0.1897039842907673;75.84;9.72
75.64_9.72;0.00024178350913617116;0.013121663907881024;36.373;-0.25957565886393197;0.00011872216680194104;0.008981294970285032;20.452;0.3815146781284878;-0.00012306134233423013;-0.004140368937595992;-15.920999999999996;0.12193901926455586;75.64;9.72
75.44_9.72;0.00032072004237076047;0.015150551761709359;45.892;-0.6353772937009403;0.00037973773167143676;0.014832660046747752;29.914;-0.936313238631528;5.901768930067629e-05;-0.00031789171496160624;-15.978000000000002;0.30093594493058773;75.44;9.72
