POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.0006232287928850071;0.021349883197224123;37.405;0.0013498061087615179;0.03460509802769177;61.813;0.0007265773158765108;0.01325521483046765;24.408;76.04;8.72
75.84_8.72;0.0005339921151305646;0.019081729264309365;37.326;0.0015862021468894746;0.037538299794564765;77.178;0.00105221003175891;0.0184565705302554;39.852;75.84;8.72
75.64_8.72;0.0005303663675913348;0.01869626631733105;42.688;0.00191793882279571;0.04102093552774021;98.964;0.0013875724552043752;0.022324669210409157;56.275999999999996;75.64;8.72
75.44_8.72;0.0016780290400348328;0.03821874290368853;84.189;0.0011853253772455149;0.03229541324515546;70.681;-0.0004927036627893179;-0.005923329658533066;-13.507999999999996;75.44;8.72
76.44_9.72;0.0022711961092641017;0.046225192994197216;61.915;0.0010677573758736058;0.03146629666602646;41.567;-0.001203438733390496;-0.014758896328170755;-20.348;76.44;9.72
76.24_9.72;0.0018160025750415532;0.04110225130117344;53.511;0.0006552090175995738;0.02383534733150837;30.523;-0.0011607935574419793;-0.01726690396966507;-22.988000000000003;76.24;9.72
76.04_9.72;0.00029165645987220954;0.012707389898354621;17.864;0.000807670271000254;0.026107632476463395;37.709;0.0005160138111280446;0.013400242578108774;19.845000000000002;76.04;9.72
75.84_9.72;0.00024815342482472394;0.010580409559426046;16.781;0.0010091180223927346;0.02866589416029991;47.22;0.0007609645975680107;0.018085484600873863;30.439;75.84;9.72
75.64_9.72;0.000426348586396538;0.014764208410699853;26.485;0.0015102772191738518;0.03490880825036761;64.919;0.0010839286327773137;0.020144599839667755;38.434;75.64;9.72
75.44_9.72;0.0009666352155331432;0.025455384870888532;46.263;0.0028218068206277793;0.04831173985394295;90.061;0.0018551716050946361;0.022856354983054418;43.79800000000001;75.44;9.72
76.84_10.72;0.0005964242020235933;0.023400748413800715;41.618;0.00032969361856061374;0.016688216147601746;29.078;-0.00026673058346297955;-0.006712532266198969;-12.540000000000003;76.84;10.72
76.64_10.72;0.0004482922499542318;0.020005039487923766;35.433;0.00019707203958199958;0.011334571786532693;20.845;-0.0002512202103722322;-0.008670467701391073;-14.588000000000001;76.64;10.72
76.44_10.72;0.001397039956238358;0.035934304938073605;48.822;0.000948217022058472;0.02584580434326822;35.214;-0.0004488229341798859;-0.010088500594805386;-13.608000000000004;76.44;10.72
76.24_10.72;0.000947679614728697;0.028923422250532172;36.586;0.00022391424109613695;0.011590961337859213;14.316;-0.00072376537363256;-0.01733246091267296;-22.269999999999996;76.24;10.72
76.04_10.72;0.00034243676228149975;0.016307424855986657;21.717;0.001096154848321981;0.02616132900486921;35.037;0.0007537180860404813;0.009853904148882552;13.32;76.04;10.72
75.84_10.72;0.00031409070900834026;0.01454878364162287;22.384;0.0002853868644237921;0.013426820302089724;20.916;-2.8703844584548172e-05;-0.0011219633395331465;-1.468;75.84;10.72
75.64_10.72;0.0002761989485400785;0.012281459820776094;20.464;0.000615816537767588;0.021099603739361834;35.765;0.0003396175892275095;0.00881814391858574;15.301000000000002;75.64;10.72
75.44_10.72;0.00028381550491910715;0.012508508215183723;21.67;0.0010645898883781808;0.029114511870962794;52.119;0.0007807743834590737;0.01660600365577907;30.448999999999998;75.44;10.72
75.24_10.72;0.0003253883115505453;0.013112566965394645;22.183;0.0013522133558736525;0.03292379539653425;57.527;0.0010268250443231071;0.019811228431139603;35.344;75.24;10.72
77.24_11.72;0.00033270362716873036;0.01645033136688972;29.121;0.0011323924242288563;0.028956945521925577;52.263;0.000799688797060126;0.012506614155035858;23.142;77.24;11.72
77.04_11.72;0.0004276694512493481;0.01893188363649389;32.653;0.00025414533174168675;0.012850848492940941;21.356;-0.00017352411950766135;-0.006081035143552948;-11.296999999999997;77.04;11.72
76.84_11.72;0.00044837804920843055;0.01990199277562489;36.866;0.00026285302895707265;0.014697992052704894;26.853;-0.0001855250202513579;-0.005204000722919997;-10.012999999999998;76.84;11.72
76.64_11.72;0.000584345760860547;0.023078715937268228;41.943;0.0007584063218115682;0.0234463327848847;46.314;0.00017406056095102117;0.00036761684761647123;4.371000000000002;76.64;11.72
76.44_11.72;0.0004498961466288676;0.019979460725368076;29.632;0.0003381816296021793;0.016961396109651247;25.006;-0.00011171451702668829;-0.003018064615716829;-4.626000000000001;76.44;11.72
76.24_11.72;0.0005007856033125874;0.02120173813727096;31.593;0.00018872399281423226;0.01152657291758313;16.831;-0.00031206161049835514;-0.00967516521968783;-14.762;76.24;11.72
76.04_11.72;0.00041410191268513265;0.019067506750397912;27.364;0.00020088467336357887;0.012409144295899746;17.607;-0.0002132172393215538;-0.006658362454498166;-9.757000000000001;76.04;11.72
75.84_11.72;0.0005181823728231322;0.02155995103959842;38.055;0.00012491134765130587;0.009316227392829137;15.958;-0.00039327102517182637;-0.012243723646769282;-22.097;75.84;11.72
75.64_11.72;0.0005281147947433192;0.021844930664548047;38.229;7.784343438823093e-05;0.006784330769527275;11.673;-0.0004502713603550883;-0.015060599895020772;-26.555999999999997;75.64;11.72
75.44_11.72;0.00018813832277584378;0.011049816032311649;20.301;0.00021510925679435374;0.01201655116835911;23.103;2.6970934018509963e-05;0.0009667351360474613;2.802000000000003;75.44;11.72
75.24_11.72;0.00041066395514538013;0.018901996116904546;38.104;0.0002186832403835132;0.012544259804151959;24.417;-0.00019198071476186692;-0.006357736312752587;-13.686999999999998;75.24;11.72
75.04_11.72;0.0008893491695913661;0.028554765832541972;54.071;0.00026389400926915324;0.01358772503798345;24.903;-0.0006254551603222129;-0.014967040794558522;-29.168;75.04;11.72
77.44_12.72;0.0002807278852607519;0.014632713474662084;38.286;0.0005418031590871035;0.019219622220123037;37.075;0.0002610752738263516;0.004586908745460952;-1.2109999999999985;77.44;12.72
77.24_12.72;0.0001501012426338683;0.010171731429962801;20.82;0.0009999594537168446;0.025941115700531075;46.731;0.0008498582110829763;0.015769384270568274;25.911;77.24;12.72
77.04_12.72;0.0002712015716232253;0.014283378146250598;25.025;0.0011772467222302412;0.029334288382796968;51.662;0.0009060451506070159;0.01505091023654637;26.637;77.04;12.72
76.84_12.72;0.0007637491615542875;0.026156959417959747;46.26;0.0003722633834192153;0.01694002706839225;28.488;-0.00039148577813507223;-0.009216932349567497;-17.772;76.84;12.72
76.64_12.72;0.0007253061144006567;0.02549275151116618;45.877;0.0003076472474846979;0.015014847527725325;25.267;-0.0004176588669159588;-0.010477903983440855;-20.610000000000003;76.64;12.72
76.44_12.72;0.0007096422213279623;0.025162893672966487;45.32;0.0005420076566027079;0.020912709639727724;37.325;-0.00016763456472525435;-0.004250184033238763;-7.994999999999997;76.44;12.72
76.24_12.72;0.0003753841994595739;0.017609034891292463;30.451;0.00019915495724771759;0.012209324113335914;20.902;-0.0001762292422118563;-0.005399710777956548;-9.549;76.24;12.72
76.04_12.72;0.00044093584631475275;0.0194762765677574;33.953;0.0002175928387033081;0.012907541997310298;21.782;-0.00022334300761144466;-0.006568734570447102;-12.171000000000003;76.04;12.72
75.84_12.72;0.0009688662358393531;0.03017269160511677;59.86;0.00013881463540005006;0.009878357669703953;18.428;-0.000830051600439303;-0.020294333935412818;-41.432;75.84;12.72
75.64_12.72;0.0010200436643780554;0.030850595254051143;61.467;0.00014061577544406608;0.00981324184772758;21.182;-0.0008794278889339893;-0.021037353406323563;-40.285;75.64;12.72
75.44_12.72;0.0009226091020464431;0.02947929704994323;58.429;0.00038906629900939074;0.018075153212728883;34.276;-0.0005335428030370524;-0.011404143837214348;-24.153;75.44;12.72
75.24_12.72;0.0003859549389247703;0.018647075503222373;39.538;0.0006344174481491638;0.02424313008595936;52.66;0.0002484625092243935;0.005596054582736987;13.122;75.24;12.72
75.04_12.72;0.0001724198921519628;0.011564469450263673;22.795;0.00048779064813761757;0.01993643343179387;41.788;0.00031537075598565476;0.008371963981530199;18.992999999999995;75.04;12.72
74.84_12.72;0.00026655542318329887;0.0138072024891366;22.332;0.002740988599142289;0.05062446870745059;85.959;0.0024744331759589903;0.03681726621831399;63.627;74.84;12.72
76.84_13.72;0.00019456069530286848;0.011204045933117773;19.08;0.0007763799231768219;0.022734241212145567;36.989;0.0005818192278739533;0.011530195279027794;17.909;76.84;13.72
76.64_13.72;0.001157796389864497;0.03272810777176718;55.272;0.00048157119442292473;0.018736633755528163;30.299;-0.0006762251954415723;-0.013991474016239014;-24.973;76.64;13.72
76.44_13.72;0.0010939763283328203;0.031803046933784225;53.525;0.00014956811335895378;0.010626583482661735;19.102;-0.0009444082149738665;-0.02117646345112249;-34.423;76.44;13.72
76.24_13.72;0.0010509552259129766;0.03139094016294854;56.732;0.0012548653259581133;0.03213229476337193;63.144;0.00020391010004513674;0.0007413546004233842;6.411999999999999;76.24;13.72
76.04_13.72;0.0008940642109223245;0.028740374497627195;51.866;0.00033872944736698104;0.01673146012617841;28.917;-0.0005553347635553435;-0.012008914371448784;-22.948999999999998;76.04;13.72
75.84_13.72;0.0007691242662523448;0.02664967798064022;48.583;0.0007624112685412327;0.02438141716472375;44.534;-6.71299771111205e-06;-0.0022682608159164674;-4.0489999999999995;75.84;13.72
75.64_13.72;0.0009506455537894737;0.0300887693919753;61.501;0.0005999862994851996;0.023511149084466897;47.778;-0.00035065925430427405;-0.0065776203075084035;-13.722999999999999;75.64;13.72
75.44_13.72;0.0010805032651696315;0.03215910160298689;65.873;0.0003221876513585268;0.015010443937901255;28.114;-0.0007583156138111047;-0.017148657665085637;-37.759;75.44;13.72
75.24_13.72;0.0005634003989505453;0.022649040873410697;52.29;0.0003499779052096143;0.017181664818472348;38.272;-0.00021342249374093096;-0.0054673760549383485;-14.018;75.24;13.72
75.04_13.72;0.0005853785335098013;0.023359800464908865;53.264;0.0011036349058429259;0.032552717525246876;76.573;0.0005182563723331245;0.00919291706033801;23.30899999999999;75.04;13.72
74.84_13.72;0.0002891885715138215;0.015590382078245443;34.661;0.00112716005429652;0.03272692924795125;74.327;0.0008379714827826985;0.017136547169705807;39.666;74.84;13.72
76.64_14.72;0.000827818628659244;0.025243451603583704;61.959;0.00028793950564364406;0.014636976966461532;30.066;-0.0005398791230155999;-0.010606474637122172;-31.893000000000004;76.64;14.72
76.44_14.72;0.0007176640725168896;0.02500035211072025;42.399;0.000675481152250125;0.023566045711113055;39.632;-4.2182920266764685e-05;-0.0014343063996071943;-2.767000000000003;76.44;14.72
76.24_14.72;0.001349162204725376;0.03560571606095088;61.986;0.0007670133461462576;0.026226321246018404;45.127;-0.0005821488585791185;-0.009379394814932475;-16.858999999999995;76.24;14.72
76.04_14.72;0.0011288871967287772;0.032165817963569855;58.016;0.0005483121716033165;0.021354277227519387;38.491;-0.0005805750251254607;-0.010811540736050469;-19.525;76.04;14.72
75.84_14.72;0.000937446350737434;0.028891451656011334;52.296;0.0006488016898279974;0.02341859821175451;43.351;-0.00028864466090943656;-0.0054728534442568255;-8.945;75.84;14.72
75.64_14.72;0.0005200606697847755;0.02071623761450987;39.389;0.0003223219829818131;0.01591905655312632;30.022;-0.0001977386868029624;-0.004797181061383549;-9.367000000000004;75.64;14.72
75.44_14.72;0.0005023356030025189;0.020506229059518242;40.027;0.0004911040363933233;0.018569541549248995;36.566;-1.1231566609195653e-05;-0.0019366875102692464;-3.4609999999999985;75.44;14.72
75.24_14.72;0.0001781995070231013;0.010963435710484897;23.631;0.0001688261736409971;0.011164304353795538;24.884;-9.373333382104197e-06;0.00020086864331064075;1.2530000000000001;75.24;14.72
75.04_14.72;0.00013227415940636716;0.008930838937606888;19.403;0.0001907864013494382;0.011092619410225808;24.466;5.851224194307103e-05;0.00216178047261892;5.063000000000002;75.04;14.72
74.84_14.72;5.1557146343989825e-05;0.005511331968683862;16.049;0.00013646680411015408;0.009516208632754397;27.2;8.490965776616425e-05;0.004004876664070536;11.151;74.84;14.72
74.64_14.72;6.841275378999813e-05;0.006615363839333421;20.828;0.0005133327184844922;0.02107560750269452;56.645;0.00044491996469449405;0.0144602436633611;35.81700000000001;74.64;14.72
76.24_15.72;0.000298814184986523;0.014865568669864365;23.735;0.00051781241424808;0.019468419646389967;30.645;0.00021899822926155704;0.004602850976525602;6.91;76.24;15.72
76.04_15.72;0.0010255484146309596;0.03070864334751806;56.187;0.0002509235758056202;0.013270169333981341;21.215;-0.0007746248388253394;-0.01743847401353672;-34.971999999999994;76.04;15.72
75.84_15.72;0.000869675623108903;0.02776946956745468;51.169;0.0003096039634744568;0.014343854598797884;23.659;-0.0005600716596344462;-0.013425614968656794;-27.509999999999998;75.84;15.72
75.64_15.72;0.00018218475390272725;0.009984837435322936;17.721;0.0001370301893409411;0.01014957600183403;20.883;-4.515456456178615e-05;0.00016473856651109432;3.161999999999999;75.64;15.72
75.44_15.72;0.0001425190065208512;0.00906767889075438;17.769;0.00012043978553729616;0.009487444336594111;18.948;-2.2079220983555053e-05;0.0004197654458397322;1.179000000000002;75.44;15.72
75.24_15.72;0.00029061804983698954;0.01521395525620253;37.361;0.0002459469055353179;0.014027540332547184;33.458;-4.4671144301671665e-05;-0.0011864149236553451;-3.9029999999999987;75.24;15.72
75.04_15.72;0.0002567643449548278;0.014681427499099165;39.323;0.0006972799665228158;0.023285638990061454;52.668;0.00044051562156798794;0.008604211490962289;13.344999999999999;75.04;15.72
74.84_15.72;0.00026134226441107395;0.01458261169816113;40.429;0.00039410570607757223;0.016925384563634443;39.261;0.00013276344166649829;0.0023427728654733127;-1.1679999999999993;74.84;15.72
74.64_15.72;0.00026567334826004923;0.01428902913582741;43.186;0.0012576150873008876;0.03155562096511504;77.917;0.0009919417390408384;0.017266591829287633;34.731;74.64;15.72
74.44_15.72;0.00017546926482172226;0.011812045295603792;34.276;0.00021307258706827404;0.012898858024969503;34.85;3.7603322246551775e-05;0.0010868127293657114;0.5739999999999981;74.44;15.72
76.24_16.72;0.00037423300222795287;0.016074654391873215;37.999;0.0004925480552106361;0.01830320051762863;30.764;0.0001183150529826832;0.0022285461257554144;-7.235000000000003;76.24;16.72
76.04_16.72;0.00016586760479484925;0.010827099596202048;18.669;0.0003366009205167589;0.015048033245838078;23.794;0.00017073331572190964;0.00422093364963603;5.125;76.04;16.72
75.84_16.72;0.0003172537439210017;0.015329465284912403;26.815;0.00011774067654436604;0.008478236013203317;14.776;-0.00019951306737663567;-0.006851229271709086;-12.039000000000001;75.84;16.72
75.64_16.72;0.00023079658067716525;0.012332377394323135;21.326;0.00013104595722930381;0.009467370061520833;19.99;-9.975062344786144e-05;-0.0028650073328023024;-1.336000000000002;75.64;16.72
75.44_16.72;0.00021848297247656912;0.012542448678226629;24.181;0.00013019342103171605;0.00957559747898253;20.646;-8.828955144485307e-05;-0.002966851199244098;-3.535;75.44;16.72
75.24_16.72;0.00024584557615715385;0.01344846576448574;32.814;0.00014790941358742456;0.01007465949762911;25.377;-9.793616256972929e-05;-0.0033738062668566306;-7.437000000000001;75.24;16.72
75.04_16.72;0.00022927136719108962;0.013139897947541352;31.5;0.00016837804065971163;0.010665595155255902;27.681;-6.089332653137799e-05;-0.00247430279228545;-3.818999999999999;75.04;16.72
74.84_16.72;0.00023330693788465597;0.012975157728543954;42.175;0.00025036820272768436;0.013159198530896246;45.381;1.7061264843028386e-05;0.00018404080235229214;3.206000000000003;74.84;16.72
74.64_16.72;0.00025546486423754747;0.013487067856793811;45.283;0.0002496252189249721;0.012867043349407489;44.562;-5.839645312575399e-06;-0.0006200245073863225;-0.7210000000000036;74.64;16.72
74.44_16.72;0.0003622593333602508;0.01611443768284545;410.505;0.0002015387450296653;0.011285601163039227;901.945;-0.0001607205883305855;-0.004828836519806222;491.44000000000005;74.44;16.72
