POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.0027081724591640267;0.0507555431166024;100.523;0.0003869788614360697;0.016637590850191303;29.343;-0.002321193597727957;-0.034117952266411095;-71.17999999999999;76.04;8.72
75.84_8.72;0.0020326507281559192;0.0436060858816444;98.763;0.0003134636325240702;0.014777246424377923;30.569;-0.001719187095631849;-0.028828839457266477;-68.194;75.84;8.72
75.64_8.72;0.0014474095438350462;0.03617397795055383;97.334;0.0004777885101265184;0.01916772635383459;48.358;-0.0009696210337085279;-0.017006251596719243;-48.976000000000006;75.64;8.72
75.44_8.72;0.0010588989755747522;0.02887356809515316;64.976;0.0021550886500268985;0.04112868504173646;95.373;0.0010961896744521463;0.012255116946583301;30.397000000000006;75.44;8.72
76.44_9.72;0.0023834771773228367;0.04731961992999203;66.182;0.0011242841267214518;0.031307241673323355;42.17;-0.0012591930506013849;-0.016012378256668673;-24.012;76.44;9.72
76.24_9.72;0.0029375700263023123;0.05303623653442329;73.032;0.0011915667013301617;0.032488786931910686;43.021;-0.0017460033249721506;-0.020547449602512605;-30.010999999999996;76.24;9.72
76.04_9.72;0.0010323508302820762;0.030379659013425053;47.244;0.0003626978392084507;0.016545299731597362;24.599;-0.0006696529910736255;-0.01383435928182769;-22.645;76.04;9.72
75.84_9.72;0.0006086208071952806;0.022250606493605978;37.971;0.00027746063722714653;0.014751797136589544;25.97;-0.00033116016996813407;-0.007498809357016434;-12.000999999999998;75.84;9.72
75.64_9.72;0.0002520949929178229;0.013544663282618618;28.535;0.0006315721793445523;0.02260683539895529;44.711;0.0003794771864267294;0.009062172116336673;16.176;75.64;9.72
75.44_9.72;0.00047012650011015264;0.018009029279475713;47.702;0.0004930038790839618;0.018162081463061044;50.997;2.2877378973809126e-05;0.0001530521835853317;3.2950000000000017;75.44;9.72
76.84_10.72;0.00047026497999318813;0.019136382264413485;33.539;0.0005973549801277983;0.0214831283560244;37.605;0.00012709000013461016;0.002346746091610917;4.065999999999995;76.84;10.72
76.64_10.72;0.000504327216072962;0.01982614950905048;34.902;0.00035835858133950315;0.015968348079839056;28.703;-0.00014596863473345884;-0.0038578014292114243;-6.199000000000002;76.64;10.72
76.44_10.72;0.00234039788287354;0.046912914811866886;65.863;0.0007254287751238682;0.024704994438126023;33.363;-0.001614969107749672;-0.022207920373740864;-32.5;76.44;10.72
76.24_10.72;0.0017748400739342363;0.04053867661396913;53.277;0.0009513243400478338;0.02883211140835119;36.804;-0.0008235157338864025;-0.011706565205617938;-16.473;76.24;10.72
76.04_10.72;0.00030254689734163443;0.015291075314948577;21.472;0.000545467722053538;0.020513400688570705;27.678;0.00024292082471190352;0.005222325373622128;6.2059999999999995;76.04;10.72
75.84_10.72;0.00020942463531379362;0.01130107479013457;22.499;0.00024157170257787852;0.011587210300760606;20.388;3.21470672640849e-05;0.0002861355106260361;-2.110999999999997;75.84;10.72
75.64_10.72;0.0004298261391017912;0.01498283321571885;37.194;0.00024682833414611864;0.012142351716471352;25.43;-0.00018299780495567255;-0.002840481499247498;-11.764000000000003;75.64;10.72
75.44_10.72;0.0008217586569970544;0.022454359319681164;61.463;0.00026307181453578537;0.012506755131307395;31.138;-0.000558686842461269;-0.009947604188373768;-30.325;75.44;10.72
75.24_10.72;0.0014081643430248702;0.0322056264128506;82.145;0.00017215128099368858;0.009484235911398185;22.712;-0.0012360130620311816;-0.022721390501452415;-59.43299999999999;75.24;10.72
77.24_11.72;0.0007037533699787028;0.02029867083361196;50.087;0.0003754441599612831;0.01601982088774476;32.517;-0.00032830921001741973;-0.004278849945867198;-17.57;77.24;11.72
77.04_11.72;0.0007529136752080619;0.019649919225446132;46.617;0.0007284786294515022;0.02339138788113202;44.271;-2.4435045756559734e-05;0.003741468655685889;-2.3459999999999965;77.04;11.72
76.84_11.72;0.0003313816986169797;0.014457565347133763;31.581;0.0004955765692150412;0.019481674508752805;35.892;0.00016419487059806146;0.005024109161619042;4.3110000000000035;76.84;11.72
76.64_11.72;0.0004406597619073471;0.01848431694275883;31.742;0.00028788137585449003;0.013914729220926304;24.325;-0.00015277838605285706;-0.004569587721832526;-7.417000000000002;76.64;11.72
76.44_11.72;0.0005726935293986295;0.02121635771532112;32.09;0.0002008125892189317;0.010491115903545102;17.567;-0.0003718809401796978;-0.010725241811776018;-14.523000000000003;76.44;11.72
76.24_11.72;0.0004503880116317712;0.018758606118877832;28.259;0.0004277406971606818;0.01763908262831863;26.539;-2.2647314471089402e-05;-0.0011195234905592016;-1.7199999999999989;76.24;11.72
76.04_11.72;0.0004120015307401372;0.018057563599896416;26.854;0.0006563377456079998;0.022928434861058746;33.945;0.0002443362148678626;0.00487087126116233;7.091000000000001;76.04;11.72
75.84_11.72;0.00021803914242033998;0.012878438677183487;26.996;0.00031520973040882343;0.014294646928360834;26.686;9.717058798848344e-05;0.0014162082511773467;-0.3099999999999987;75.84;11.72
75.64_11.72;0.00020231434163779904;0.01226124280625643;26.03;0.0003349921615475888;0.014155366575063352;26.424;0.00013267781990978974;0.001894123768806922;0.39399999999999835;75.64;11.72
75.44_11.72;0.000527440651038122;0.01807572465698083;50.329;0.00020084641294891773;0.010225066843458648;25.421;-0.0003265942380892042;-0.00785065781352218;-24.908;75.44;11.72
75.24_11.72;0.004909645964216005;0.06896363550699648;158.895;0.0003164728040340043;0.014712522164850843;30.775;-0.004593173160182;-0.054251113342145635;-128.12;75.24;11.72
75.04_11.72;0.009729732999347434;0.09784623156475909;206.724;0.0002622832498859337;0.0133531030896894;26.207;-0.0094674497494615;-0.08449312847506969;-180.517;75.04;11.72
77.44_12.72;0.0019533179351488936;0.04238511539374932;116.494;0.0016241390079241131;0.03443953752814297;71.774;-0.00032917892722478053;-0.007945577865606346;-44.72;77.44;12.72
