POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.0001761998834440184;0.011310179719202682;28.193;0.14295111453157305;0.0003717726057557783;0.0159955485361625;31.384;-0.8083286502962745;0.00019557272231175991;0.00468536881695982;3.190999999999999;0.6653775357647015;76.04;8.72
75.84_8.72;0.00022869335296244383;0.012952443678556311;39.98;-0.16603303886298737;0.0003847047480285658;0.015872047915836754;35.893;-0.961484409572823;0.00015601139506612194;0.002919604237280443;-4.086999999999996;0.7954513707098356;75.84;8.72
75.64_8.72;0.00016106855814050067;0.010613732636807507;47.765;0.041869359909490145;0.0009583485169740307;0.0255086589178192;64.858;-4.700821368234697;0.0007972799588335301;0.014894926281011692;17.093000000000004;4.658952008325207;75.64;8.72
75.44_8.72;0.0001437511305411761;0.009490417425638513;34.762;0.08483650608317084;0.0013971322600432904;0.03009311691037426;68.162;-7.894569634002911;0.0012533811295021144;0.020602699484735747;33.400000000000006;7.80973312791974;75.44;8.72
76.44_9.72;0.00010737876847669383;0.00756463754916038;12.312;0.37923799376663103;0.0002993370154097127;0.014347447099418533;20.151;-0.7304821880684265;0.00019195824693301884;0.006782809550258153;7.839;0.35124419430179543;76.44;9.72
76.24_9.72;0.00011049391428663644;0.007658594009524115;11.659;0.3488231380833877;0.00027375593699262356;0.012563327045219815;16.839;-0.6133334865797067;0.0001632620227059871;0.0049047330356956995;5.179999999999998;0.26451034849631894;76.24;9.72
76.04_9.72;0.00011666664642310292;0.008585797552414717;16.351;0.4415735856397698;0.0002842693544891433;0.013133948024096547;20.234;-0.36065894758104844;0.00016760270806604038;0.00454815047168183;3.8830000000000027;-0.08091463805872134;76.04;9.72
75.84_9.72;0.00018538274156367797;0.011433586804629598;26.435;0.05245004058568403;0.0002586851269157489;0.011856715608885697;21.059;-0.3222216881818454;7.330238535207092e-05;0.00042312880425609926;-5.375999999999998;0.26977164759616135;75.84;9.72
75.64_9.72;0.00026899127668929696;0.014254855222375264;39.206;-0.4693167417862454;0.00033707707846759876;0.014225149087906858;28.246;-0.8412232573508782;6.80858017783018e-05;-2.970613446840603e-05;-10.960000000000004;0.37190651556463283;75.64;9.72
75.44_9.72;0.00023738965327534583;0.012840902745282157;40.012;-0.29013302170958255;0.0005868692218279073;0.019281183573942796;37.88;-2.1894370797491796;0.0003494795685525615;0.00644028082866064;-2.131999999999998;1.899304058039597;75.44;9.72
76.84_10.72;8.002349417385143e-05;0.006314945760405172;16.415;0.4758195999413688;0.00013203583248228774;0.008910622890657699;18.461;0.13512155139989712;5.201233830843631e-05;0.002595677130252527;2.0459999999999994;-0.3406980485414717;76.84;10.72
76.64_10.72;8.002349417385143e-05;0.006314945760405172;16.415;0.4758195999413688;0.0005605240439041148;0.01860716814211944;35.865;-2.6716181992481425;0.00048050054973026334;0.01229222238171427;19.450000000000003;2.195798599306774;76.64;10.72
76.44_10.72;9.412161529499714e-05;0.006954142988468249;11.545;0.4154927042889799;0.00016902470636356818;0.009271769464701679;13.33;-0.049665092500487784;7.490309106857104e-05;0.00231762647623343;1.7850000000000001;-0.3658276117884921;76.44;10.72
76.24_10.72;9.807213958284076e-05;0.0072456699249959676;10.443;0.417764503317241;0.0003071466249168818;0.01465325288537854;19.174;-0.8234706459305503;0.00020907448533404103;0.007407582960382572;8.731;0.4057061426133093;76.24;10.72
76.04_10.72;0.0001429862778589197;0.009970650540753303;13.962;0.23273643585098758;0.00046382077752637254;0.018197740634396047;25.412;-1.4888596879371865;0.0003208344996674528;0.008227090093642744;11.45;1.256123252086199;76.04;10.72
75.84_10.72;8.396714448265086e-05;0.006923515354862467;13.483;0.5263822864198225;0.0004462895843890237;0.0168481887523081;28.538;-1.517301902491755;0.0003623224399063728;0.009924673397445634;15.055;0.9909196160719324;75.84;10.72
75.64_10.72;8.815746825157205e-05;0.00683977773351797;17.073;0.4859567327741453;0.0003819091685939835;0.015758741641610906;28.276;-1.2268996682996307;0.0002937517003424114;0.008918963908092936;11.203;0.7409429355254854;75.64;10.72
75.44_10.72;0.00012181731051226319;0.008557020909145174;24.796;0.2727973794681471;0.00031340541201483533;0.014275646252267422;27.417;-0.8709101025761847;0.00019158810150257216;0.005718625343122247;2.621000000000002;0.5981127231080376;75.44;10.72
